variant,load_balance_weight,intervention,support,router_support_count,fixed_support_loss,fixed_support_loss_delta,fixed_support_logit_mse,fixed_support_residual_stream_l2_delta,pair_value_cosine
baseline,0.0,fixed_dominant_router_support,"2,9",18,4.074950695037842,1.1625497341156006,0.2610822021961212,5.162138938903809,0.08847036957740784
baseline,0.0,fixed_dominant_router_support,"2,10",16,4.140637397766113,1.228236436843872,0.27152615785598755,5.30388069152832,0.006695277988910675
baseline,0.0,fixed_dominant_router_support,"2,6",16,3.9844906330108643,1.072089672088623,0.23577170073986053,4.823510646820068,0.039012130349874496
baseline,0.0,fixed_dominant_router_support,"6,15",13,4.060120105743408,1.147719144821167,0.25404077768325806,4.971041202545166,-0.013637132942676544
baseline,0.0,fixed_dominant_router_support,"2,15",12,4.127525806427002,1.2151248455047607,0.25672706961631775,5.213968276977539,-0.1396656036376953
baseline,0.0,fixed_dominant_router_support,"2,22",12,4.104715824127197,1.192314863204956,0.26108863949775696,5.211335182189941,-0.08867885172367096
baseline,0.0,fixed_dominant_router_support,"2,5",12,4.11104679107666,1.198645830154419,0.2685854732990265,5.405522346496582,-0.04598129913210869
baseline,0.0,fixed_dominant_router_support,"2,12",11,4.149882793426514,1.2374818325042725,0.2680315375328064,5.315026760101318,-0.10169389098882675
baseline,0.0,fixed_best_support_swap,"6,9",0,3.9539098739624023,1.0415089130401611,0.22324755787849426,4.801903247833252,-0.03169053792953491
baseline,0.0,fixed_best_support_swap,"6,20",3,3.9790594577789307,1.0666584968566895,0.22657057642936707,4.977455139160156,-0.11425167322158813
baseline,0.0,fixed_best_support_swap,"2,6",16,3.9844906330108643,1.072089672088623,0.23577170073986053,4.823510646820068,0.039012130349874496
baseline,0.0,fixed_best_support_swap,"6,17",0,4.015275001525879,1.1028740406036377,0.17373120784759521,4.322231292724609,0.0
baseline,0.0,fixed_best_support_swap,"1,6",0,4.016635417938232,1.1042344570159912,0.24277789890766144,5.106680393218994,-0.10291678458452225
baseline,0.0,fixed_best_support_swap,"6,22",0,4.021109104156494,1.108708143234253,0.23627473413944244,4.848031044006348,-0.055598996579647064
baseline,0.0,fixed_best_support_swap,"0,6",8,4.0224080085754395,1.1100070476531982,0.24661993980407715,4.937328815460205,-0.024918872863054276
baseline,0.0,fixed_best_support_swap,"6,10",0,4.023649215698242,1.111248254776001,0.24157598614692688,4.818736553192139,-0.10894279181957245
load_balance_0.0125,0.0125,fixed_dominant_router_support,"2,7",32,3.9751181602478027,1.1448473930358887,0.12289568036794662,3.5203752517700195,0.3149743378162384
load_balance_0.0125,0.0125,fixed_dominant_router_support,"4,12",11,4.207508087158203,1.377237319946289,0.2451549470424652,5.293713569641113,0.041812337934970856
load_balance_0.0125,0.0125,fixed_dominant_router_support,"2,10",10,4.0830769538879395,1.2528061866760254,0.1421658992767334,4.027719497680664,-0.17056074738502502
load_balance_0.0125,0.0125,fixed_dominant_router_support,"2,6",9,4.1234002113342285,1.2931294441223145,0.14481313526630402,4.055046558380127,-0.10992085933685303
load_balance_0.0125,0.0125,fixed_dominant_router_support,"15,16",8,4.188136577606201,1.357865810394287,0.21650145947933197,4.992071628570557,0.029399001970887184
load_balance_0.0125,0.0125,fixed_dominant_router_support,"2,13",8,4.116735458374023,1.2864646911621094,0.1641145795583725,4.310168266296387,-0.12020181119441986
load_balance_0.0125,0.0125,fixed_dominant_router_support,"5,11",8,4.1159162521362305,1.2856454849243164,0.23810601234436035,5.131173133850098,0.02296154387295246
load_balance_0.0125,0.0125,fixed_dominant_router_support,"0,3",7,4.089261054992676,1.2589902877807617,0.2402724325656891,5.076364994049072,-0.04000791162252426
load_balance_0.0125,0.0125,fixed_best_support_swap,"2,7",32,3.9751181602478027,1.1448473930358887,0.12289568036794662,3.5203752517700195,0.3149743378162384
load_balance_0.0125,0.0125,fixed_best_support_swap,"7,20",0,3.9892539978027344,1.1589832305908203,0.21013496816158295,4.423341751098633,-0.09873925894498825
load_balance_0.0125,0.0125,fixed_best_support_swap,"3,7",0,4.010140895843506,1.1798701286315918,0.2439223825931549,4.757938385009766,-0.018929846584796906
load_balance_0.0125,0.0125,fixed_best_support_swap,"7,8",0,4.012248516082764,1.1819777488708496,0.22727255523204803,4.8066816329956055,-0.0035009756684303284
load_balance_0.0125,0.0125,fixed_best_support_swap,"7,10",0,4.014102935791016,1.1838321685791016,0.23219378292560577,4.701355934143066,-0.008715644478797913
load_balance_0.0125,0.0125,fixed_best_support_swap,"7,23",0,4.018424034118652,1.1881532669067383,0.20414935052394867,4.657190322875977,-0.15499940514564514
load_balance_0.0125,0.0125,fixed_best_support_swap,"7,19",0,4.0272088050842285,1.1969380378723145,0.21280840039253235,4.598823547363281,-0.021388977766036987
load_balance_0.0125,0.0125,fixed_best_support_swap,"7,9",0,4.030984878540039,1.200714111328125,0.23175981640815735,4.8401641845703125,0.009893718175590038
