variant,load_balance_weight,intervention,support,router_support_count,fixed_support_loss,fixed_support_loss_delta,fixed_support_logit_mse,fixed_support_residual_stream_l2_delta,pair_value_cosine
baseline,0.0,fixed_dominant_router_support,"8,16",13,4.252180099487305,1.3537342548370361,0.2773667275905609,5.489601135253906,0.08268333226442337
baseline,0.0,fixed_dominant_router_support,"10,12",12,4.289483070373535,1.3910372257232666,0.2921885550022125,5.607583999633789,0.012118497863411903
baseline,0.0,fixed_dominant_router_support,"1,7",11,4.20622444152832,1.3077785968780518,0.26628562808036804,5.585456848144531,0.213637575507164
baseline,0.0,fixed_dominant_router_support,"11,13",11,4.195805072784424,1.2973592281341553,0.2585374712944031,5.341059684753418,0.007032196968793869
baseline,0.0,fixed_dominant_router_support,"5,11",11,4.269118309020996,1.3706724643707275,0.272100567817688,5.646548271179199,0.056722491979599
baseline,0.0,fixed_dominant_router_support,"12,13",10,4.231821537017822,1.3333756923675537,0.27189984917640686,5.305027961730957,-0.011076264083385468
baseline,0.0,fixed_dominant_router_support,"14,16",10,4.225894927978516,1.327449083328247,0.2745257318019867,5.403724193572998,-0.012570369988679886
baseline,0.0,fixed_dominant_router_support,"12,15",9,4.239713191986084,1.3412673473358154,0.28145378828048706,5.541199684143066,-0.10096056014299393
baseline,0.0,fixed_best_support_swap,"18,22",0,4.072421550750732,1.1739757061004639,0.18048642575740814,4.451294898986816,-6.483495235443115e-05
baseline,0.0,fixed_best_support_swap,"13,18",0,4.084259510040283,1.1858136653900146,0.258461058139801,5.163330554962158,-0.06567473709583282
baseline,0.0,fixed_best_support_swap,"8,18",2,4.087460517883301,1.1890146732330322,0.2614840567111969,5.2916460037231445,-0.023739822208881378
baseline,0.0,fixed_best_support_swap,"12,18",2,4.088209629058838,1.1897637844085693,0.28399142622947693,5.3390913009643555,-0.12048060446977615
baseline,0.0,fixed_best_support_swap,"1,18",6,4.110294818878174,1.2118489742279053,0.2674942910671234,5.273201942443848,-0.04161116108298302
baseline,0.0,fixed_best_support_swap,"11,18",4,4.11184024810791,1.2133944034576416,0.2602485120296478,5.329090595245361,-0.03676529601216316
baseline,0.0,fixed_best_support_swap,"5,18",0,4.118772983551025,1.2203271389007568,0.2607778012752533,5.443153381347656,-0.1374320536851883
baseline,0.0,fixed_best_support_swap,"1,13",0,4.132083415985107,1.2336375713348389,0.24107907712459564,5.157752990722656,-0.1309410184621811
load_balance_0.02,0.02,fixed_dominant_router_support,"0,22",15,4.141402244567871,1.244462490081787,0.1344827264547348,3.717151641845703,0.17194634675979614
load_balance_0.02,0.02,fixed_dominant_router_support,"1,21",12,4.21881628036499,1.3218765258789062,0.24534015357494354,5.0868353843688965,-0.05588570982217789
load_balance_0.02,0.02,fixed_dominant_router_support,"0,16",11,4.158258438110352,1.2613186836242676,0.13285179436206818,3.725259780883789,-0.24838455021381378
load_balance_0.02,0.02,fixed_dominant_router_support,"0,17",11,4.137497425079346,1.2405576705932617,0.12919855117797852,3.6948232650756836,-0.02021719329059124
load_balance_0.02,0.02,fixed_dominant_router_support,"8,18",11,4.19429349899292,1.297353744506836,0.18606923520565033,4.34643030166626,-0.011193737387657166
load_balance_0.02,0.02,fixed_dominant_router_support,"0,4",10,4.036044120788574,1.1391043663024902,0.12791140377521515,3.650876045227051,0.2851584553718567
load_balance_0.02,0.02,fixed_dominant_router_support,"0,2",8,4.173311233520508,1.2763714790344238,0.14189596474170685,3.930996894836426,-0.16273199021816254
load_balance_0.02,0.02,fixed_dominant_router_support,"12,18",8,4.197610378265381,1.3006706237792969,0.1853260099887848,4.445526599884033,-0.07120142877101898
load_balance_0.02,0.02,fixed_best_support_swap,"0,4",10,4.036044120788574,1.1391043663024902,0.12791140377521515,3.650876045227051,0.2851584553718567
load_balance_0.02,0.02,fixed_best_support_swap,"4,19",0,4.03796911239624,1.1410293579101562,0.12786242365837097,3.6728720664978027,0.05113675445318222
load_balance_0.02,0.02,fixed_best_support_swap,"3,4",0,4.042172908782959,1.145233154296875,0.2399722784757614,4.878473281860352,-0.026217389851808548
load_balance_0.02,0.02,fixed_best_support_swap,"4,7",0,4.059978485107422,1.163038730621338,0.25263532996177673,5.014707565307617,-0.11593714356422424
load_balance_0.02,0.02,fixed_best_support_swap,"4,13",0,4.073642730712891,1.1767029762268066,0.19406889379024506,4.552162170410156,-0.016417788341641426
load_balance_0.02,0.02,fixed_best_support_swap,"4,11",0,4.075961589813232,1.1790218353271484,0.23009555041790009,4.799588203430176,-0.02933342754840851
load_balance_0.02,0.02,fixed_best_support_swap,"4,20",0,4.082770824432373,1.185831069946289,0.2372502088546753,4.8894829750061035,-0.06812076270580292
load_balance_0.02,0.02,fixed_best_support_swap,"4,18",6,4.085532188415527,1.1885924339294434,0.1769893914461136,4.140050888061523,0.20413780212402344
