anchor_support,control_intervention,control_support,token_index,batch_index,position_index,position_bin,token_class,residual_norm_bin,residual_gain_bin,observed_pair_synergy,control_pair_synergy,observed_minus_control_pair_synergy,observed_pair_gain,control_pair_gain,anchor_router_support_count,control_router_support_count,support_count_difference,fixed_support_loss_difference,control_match_rank,control_match_status
"2,9",fixed_best_support_swap,"6,9",0,0,0,even,rare_target,low,high,0.0845789909362793,0.1298689842224121,-0.04528999328613281,0.20011544227600098,-0.0847160816192627,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",1,0,1,odd,rare_target,low,high,0.360318660736084,0.45810747146606445,-0.09778881072998047,0.28681135177612305,-0.3616757392883301,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",2,0,2,even,rare_target,low,low,0.42821383476257324,0.28832268714904785,0.1398911476135254,-0.437457799911499,-0.3821547031402588,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",4,0,4,even,common_target,low,high,0.23524236679077148,0.3634166717529297,-0.1281743049621582,0.18595170974731445,-0.27430200576782227,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",6,0,6,even,common_target,low,high,-0.007792949676513672,0.2805671691894531,-0.2883601188659668,0.1416645050048828,0.009640216827392578,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",11,0,11,odd,common_target,low,low,0.30819082260131836,0.2911257743835449,0.017065048217773438,-0.24567556381225586,-0.32209348678588867,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",12,0,12,even,common_target,low,high,0.08924221992492676,0.307614803314209,-0.21837258338928223,0.21484875679016113,-0.08925056457519531,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",13,0,13,odd,common_target,low,low,0.38639020919799805,0.2427058219909668,0.14368438720703125,-0.25122499465942383,-0.2790374755859375,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",16,0,16,even,common_target,low,low,0.20743942260742188,0.23512554168701172,-0.027686119079589844,-0.39748573303222656,-0.3615450859069824,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",20,0,20,even,rare_target,low,mid,0.04258537292480469,-0.020399093627929688,0.06298446655273438,-0.11638641357421875,-0.030001163482666016,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",21,0,21,odd,common_target,high,high,-0.22646188735961914,0.3689579963684082,-0.5954198837280273,1.8330435752868652,1.8330435752868652,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",23,0,23,odd,common_target,high,high,0.1602306365966797,-0.021903038024902344,0.18213367462158203,0.9223957061767578,-0.1602306365966797,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",24,0,24,even,common_target,low,mid,0.13757896423339844,0.05078434944152832,0.08679461479187012,-0.09320974349975586,0.018610477447509766,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",27,0,27,odd,common_target,low,high,-0.1833949089050293,0.2642660140991211,-0.4476609230041504,0.3126835823059082,0.18446731567382812,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",30,0,30,even,common_target,low,mid,0.6011919975280762,0.017081260681152344,0.5841107368469238,0.005118370056152344,-0.5805039405822754,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",31,0,31,odd,common_target,high,mid,0.30855512619018555,0.30855512619018555,0.0,-0.06279277801513672,2.114708423614502,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",32,0,32,even,common_target,low,low,0.5266819000244141,0.11626052856445312,0.41042137145996094,-0.43300867080688477,-0.5264778137207031,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",33,0,33,odd,common_target,high,high,-0.2515273094177246,0.32693052291870117,-0.5784578323364258,1.9317007064819336,1.9317007064819336,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",35,0,35,odd,common_target,low,low,-0.005599260330200195,0.24272727966308594,-0.24832653999328613,-0.39185166358947754,0.01890850067138672,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",38,0,38,even,common_target,low,low,-0.34958338737487793,0.2796027660369873,-0.6291861534118652,-0.2521023750305176,0.35035061836242676,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",39,0,39,odd,rare_target,low,high,0.031082630157470703,0.10054397583007812,-0.06946134567260742,0.11494660377502441,0.005620479583740234,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",41,0,41,odd,rare_target,low,mid,0.03907489776611328,0.19227170944213867,-0.1531968116760254,-0.013019084930419922,-0.04068470001220703,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",42,0,42,even,rare_target,low,low,0.46756553649902344,0.29117345809936523,0.1763920783996582,-0.29735851287841797,-0.44678497314453125,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",44,0,44,even,rare_target,low,low,0.25083255767822266,0.07165908813476562,0.17917346954345703,-0.37231922149658203,-0.07506370544433594,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",47,0,47,odd,rare_target,low,mid,0.343475341796875,0.30050134658813477,0.042973995208740234,-0.10083675384521484,-0.3014392852783203,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",51,0,51,odd,rare_target,low,mid,0.3012242317199707,0.3012228012084961,1.430511474609375e-06,-0.10476064682006836,-0.013244152069091797,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",53,0,53,odd,common_target,high,mid,0.5822348594665527,0.5822348594665527,0.0,-0.008975028991699219,2.200026750564575,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",59,0,59,odd,common_target,high,high,0.812873363494873,0.13857555389404297,0.6742978096008301,0.10319232940673828,0.10367918014526367,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",61,0,61,odd,common_target,high,mid,0.17944574356079102,0.14331483840942383,0.03613090515136719,-0.07144784927368164,-0.037606239318847656,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",65,1,2,even,rare_target,low,mid,0.34336376190185547,0.31272125244140625,0.03064250946044922,-0.09956932067871094,-0.2885570526123047,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",66,1,3,odd,common_target,high,high,0.1560525894165039,0.24121809005737305,-0.08516550064086914,0.7446999549865723,0.7446999549865723,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",68,1,5,odd,common_target,high,high,0.5976295471191406,0.029026508331298828,0.5686030387878418,0.4926872253417969,-0.4808831214904785,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",69,1,6,even,rare_target,low,mid,0.3005712032318115,0.3005707263946533,4.76837158203125e-07,-0.10394549369812012,-0.013447999954223633,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",70,1,7,odd,common_target,high,high,-0.20418357849121094,0.31417274475097656,-0.5183563232421875,1.8464325666427612,1.8464325666427612,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",71,1,8,even,common_target,high,mid,0.5831303596496582,0.5831303596496582,0.0,-0.010194778442382812,2.2001285552978516,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",74,1,11,odd,common_target,high,high,0.15350008010864258,0.17922639846801758,-0.025726318359375,0.3619251251220703,0.3619251251220703,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",76,1,13,odd,common_target,high,high,-0.32198619842529297,0.2830324172973633,-0.6050186157226562,1.3961374759674072,0.3212594985961914,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",77,1,14,even,common_target,high,mid,0.8127932548522949,0.137556791305542,0.6752364635467529,0.10174155235290527,0.1022794246673584,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
"2,9",fixed_best_support_swap,"6,9",79,1,16,even,common_target,high,mid,0.17979669570922852,0.15356206893920898,0.02623462677001953,-0.07216644287109375,-0.026534080505371094,18.0,0.0,-18.0,-0.12104034423828125,1.0,exact_support_count_candidate_available
