position_bin,token_class,residual_norm_bin,residual_gain_bin,support_count_bin,observed_row_count,observed_pair_synergy_mean,observed_pair_gain_mean,observed_singleton_left_gain_mean,observed_singleton_right_gain_mean,control_present,control_row_count,control_pair_synergy_mean,control_support_count_difference_mean,control_support_count_difference_abs_mean,control_fixed_support_loss_difference_mean,control_fixed_support_loss_difference_abs_mean,control_exact_support_count_candidate_count_mean,control_near_support_count_candidate_count_mean,control_min_support_count_abs_difference_available_mean,control_match_status_counts,control_anchor_support_count,control_support_count,observed_minus_control_pair_synergy
even,common_target,high,high,mid,53,0.23868718687093482,1.1537990300160534,0.5056371283981035,0.409474714747015,True,54,0.13049836511965152,-10.11111111111111,10.11111111111111,-0.08575739683928313,0.08575739683928313,2.037037037037037,4.518518518518518,0.0,"{""exact_support_count_candidate_available"": 54}",5,5,0.1081888217512833
even,common_target,high,mid,high,14,0.3755780117852347,-0.03622622149331229,-0.1766106571469988,-0.2351935761315482,True,15,0.4205920219421387,-15.666666666666666,15.666666666666666,-0.13995800018310547,0.13995800018310547,1.4666666666666666,1.4666666666666666,0.0,"{""exact_support_count_candidate_available"": 15}",2,2,-0.04501401015690398
even,common_target,low,high,high,11,0.06101829355413264,0.20144514604048294,0.21123036471280185,-0.07080351222645152,True,11,0.35434976491061126,-14.363636363636363,14.363636363636363,-0.15052240545099432,0.15052240545099432,1.7272727272727273,1.7272727272727273,0.0,"{""exact_support_count_candidate_available"": 11}",2,2,-0.29333147135647863
even,common_target,low,high,mid,23,0.1632979745450227,0.22001255076864493,-0.032227640566618546,0.08894221679024074,True,20,0.017165172100067138,-10.95,10.95,-0.0882901668548584,0.0882901668548584,2.5,4.75,0.0,"{""exact_support_count_candidate_available"": 20}",5,5,0.14613280244495558
even,common_target,low,low,high,23,0.16910715725110925,-0.34650766331216565,-0.40919802499854047,-0.10641679556473442,True,26,0.24798247447380653,-9.538461538461538,9.538461538461538,-0.0869595454289363,0.0869595454289363,1.3076923076923077,1.3076923076923077,0.0,"{""exact_support_count_candidate_available"": 26}",3,3,-0.07887531722269728
even,common_target,low,low,mid,42,0.28249354589553105,-0.3314010358992077,-0.3477455036980765,-0.2661490780966623,True,30,0.2158401568730672,-8.833333333333334,8.833333333333334,-0.10449268023173014,0.10449268023173014,2.533333333333333,4.766666666666667,0.0,"{""exact_support_count_candidate_available"": 30}",4,4,0.06665338902246384
even,common_target,low,mid,high,32,0.2541305795311928,-0.05914817005395889,-0.1006874069571495,-0.21259134262800217,True,33,0.17482032920375015,-9.393939393939394,9.393939393939394,-0.0856419765588009,0.0856419765588009,1.303030303030303,1.303030303030303,0.0,"{""exact_support_count_candidate_available"": 33}",3,3,0.07931025032744263
even,common_target,low,mid,mid,36,0.14950784047444662,-0.09488875336117214,-0.10946633418401082,-0.13493025965160793,True,58,0.21505543281292094,-10.655172413793103,10.655172413793103,-0.08743041137169147,0.08743041137169147,1.896551724137931,4.448275862068965,0.0,"{""exact_support_count_candidate_available"": 58}",5,5,-0.06554759233847432
even,rare_target,low,high,high,12,0.1034658153851827,0.26345670223236084,0.2392363945643107,-0.07924550771713257,True,5,0.24426717758178712,-7.2,7.2,-0.0484161376953125,0.0484161376953125,1.0,1.0,0.0,"{""exact_support_count_candidate_available"": 5}",2,2,-0.14080136219660444
even,rare_target,low,high,mid,24,0.009633084138234457,0.22224446137746176,0.17866777380307516,0.03394360343615214,True,8,0.0001157522201538086,-9.0,9.0,-0.08597695827484131,0.08597695827484131,2.5,4.75,0.0,"{""exact_support_count_candidate_available"": 8}",4,4,0.009517331918080648
even,rare_target,low,low,high,21,0.21952419053940547,-0.33810004733857657,-0.36046892120724633,-0.1971553166707357,True,19,0.24455300130342184,-12.105263157894736,12.105263157894736,-0.11262672825863487,0.11262672825863487,1.4210526315789473,1.4210526315789473,0.0,"{""exact_support_count_candidate_available"": 19}",3,3,-0.025028810764016363
even,rare_target,low,low,mid,57,0.11289757176449425,-0.34593696761549564,-0.31081426352785346,-0.14802027585213645,True,39,0.3828235956338736,-10.948717948717949,10.948717948717949,-0.09815724690755208,0.09815724690755208,2.5384615384615383,4.769230769230769,0.0,"{""exact_support_count_candidate_available"": 39}",4,4,-0.26992602386937936
even,rare_target,low,mid,high,30,0.22580456733703613,-0.06863342126210531,-0.07160363992055258,-0.22283434867858887,True,26,0.2957377342077402,-9.423076923076923,9.423076923076923,-0.07762670516967773,0.07762670516967773,1.1923076923076923,1.1923076923076923,0.0,"{""exact_support_count_candidate_available"": 26}",3,3,-0.06993316687070406
even,rare_target,low,mid,mid,35,0.10828379222324916,-0.10944205011640276,-0.1301471165248326,-0.08757872581481933,True,63,0.30357803617204937,-10.698412698412698,10.698412698412698,-0.08095751111469572,0.08095751111469572,1.8571428571428572,4.428571428571429,0.0,"{""exact_support_count_candidate_available"": 63}",5,5,-0.1952942439488002
odd,common_target,high,high,high,42,0.026544780958266484,1.3009650905927022,0.23142996288481213,1.0429903467496235,True,39,0.2378692076756404,-10.923076923076923,10.923076923076923,-0.09627034113957332,0.09627034113957332,1.3076923076923077,1.3076923076923077,0.0,"{""exact_support_count_candidate_available"": 39}",3,3,-0.21132442671737392
odd,common_target,high,mid,high,6,0.2577650547027588,-0.06433169047037761,-0.12235665321350098,-0.1997400919596354,True,10,0.40507936477661133,-15.5,15.5,-0.14130926132202148,0.14130926132202148,1.5,1.5,0.0,"{""exact_support_count_candidate_available"": 10}",2,2,-0.14731431007385254
odd,common_target,low,high,high,9,0.07956152492099339,0.19275789790683323,0.19742886225382486,-0.08423248926798503,True,10,0.2766642808914185,-13.5,13.5,-0.15752439498901366,0.15752439498901366,1.9,1.9,0.0,"{""exact_support_count_candidate_available"": 10}",2,2,-0.1971027559704251
odd,common_target,low,high,mid,19,0.12271632646259509,0.150723093434384,0.057523677223607114,-0.029516910251818206,True,23,0.03946774938832159,-11.434782608695652,11.434782608695652,-0.09457810028739598,0.09457810028739598,2.5652173913043477,4.782608695652174,0.0,"{""exact_support_count_candidate_available"": 23}",5,5,0.0832485770742735
odd,common_target,low,low,high,24,0.1429598331451416,-0.32270065943400067,-0.342518409093221,-0.12314208348592122,True,32,0.22600490599870682,-12.75,12.75,-0.11354696750640869,0.11354696750640869,1.375,1.375,0.0,"{""exact_support_count_candidate_available"": 32}",3,3,-0.08304507285356522
odd,common_target,low,low,mid,46,0.22355309258336606,-0.3343283767285554,-0.30662663604902185,-0.25125483326289966,True,38,0.28825936191960383,-8.81578947368421,8.81578947368421,-0.10417240544369347,0.10417240544369347,2.526315789473684,4.7631578947368425,0.0,"{""exact_support_count_candidate_available"": 38}",4,4,-0.06470626933623777
odd,common_target,low,mid,high,30,0.2617798805236816,-0.0672619899113973,-0.13930819034576417,-0.18973368008931477,True,37,0.13378209036749764,-9.08108108108108,9.08108108108108,-0.08511734008789062,0.08511734008789062,1.3243243243243243,1.3243243243243243,0.0,"{""exact_support_count_candidate_available"": 37}",3,3,0.12799779015618398
odd,common_target,low,mid,mid,47,0.196027380354861,-0.11507497442529556,-0.13335087451528996,-0.17775148026486662,True,72,0.2024536430835724,-11.36111111111111,11.36111111111111,-0.08357891109254625,0.08357891109254625,2.0,4.5,0.0,"{""exact_support_count_candidate_available"": 72}",5,5,-0.006426262728711385
odd,rare_target,low,high,high,11,0.19344024224714798,0.302505298094316,0.2486449588428844,-0.13957990299571643,True,12,0.3235243757565816,-8.583333333333334,8.583333333333334,-0.06389832496643066,0.06389832496643066,1.0833333333333333,1.0833333333333333,0.0,"{""exact_support_count_candidate_available"": 12}",3,3,-0.13008413350943362
odd,rare_target,low,high,mid,22,0.046566497195850716,0.18558582392605869,0.058581634001298385,0.08043769272890958,True,16,-0.01133023202419281,-8.3125,8.3125,-0.09404230117797852,0.09404230117797852,2.375,4.6875,0.0,"{""exact_support_count_candidate_available"": 16}",4,4,0.057896729220043526
odd,rare_target,low,low,high,22,0.1961548220027577,-0.35444827513261273,-0.37831279364499176,-0.17229030349037863,True,18,0.26836948924594456,-12.333333333333334,12.333333333333334,-0.1076551013522678,0.1076551013522678,1.3333333333333333,1.3333333333333333,0.0,"{""exact_support_count_candidate_available"": 18}",3,3,-0.07221466724318687
odd,rare_target,low,low,mid,38,0.11765966917339124,-0.3423270614523637,-0.29432408433211477,-0.16566264629364014,True,21,0.32176082474844797,-10.904761904761905,10.904761904761905,-0.1021924927121117,0.1021924927121117,2.3333333333333335,4.666666666666667,0.0,"{""exact_support_count_candidate_available"": 21}",4,4,-0.20410115557505673
odd,rare_target,low,mid,high,27,0.2502902260533086,-0.03952646255493164,-0.05348452815303096,-0.23633216045520924,True,23,0.24514773617620053,-7.521739130434782,7.521739130434782,-0.06670143293297809,0.06670143293297809,1.2173913043478262,1.2173913043478262,0.0,"{""exact_support_count_candidate_available"": 23}",3,3,0.005142489877108053
odd,rare_target,low,mid,mid,31,0.1370634417380056,-0.09057937898943501,-0.09550095373584379,-0.13214186699159683,True,32,0.23404715955257416,-9.84375,9.84375,-0.0863761454820633,0.0863761454820633,2.0625,4.53125,0.0,"{""exact_support_count_candidate_available"": 32}",5,5,-0.09698371781456855
