position_bin,token_class,residual_norm_bin,residual_gain_bin,support_count_bin,observed_row_count,observed_pair_synergy_mean,observed_pair_gain_mean,observed_singleton_left_gain_mean,observed_singleton_right_gain_mean,control_present,control_row_count,control_pair_synergy_mean,control_support_count_difference_mean,control_support_count_difference_abs_mean,control_fixed_support_loss_difference_mean,control_fixed_support_loss_difference_abs_mean,control_exact_support_count_candidate_count_mean,control_near_support_count_candidate_count_mean,control_min_support_count_abs_difference_available_mean,control_match_status_counts,control_anchor_support_count,control_support_count,observed_minus_control_pair_synergy
even,common_target,high,high,mid,53,0.23868717337554357,1.153798980532952,0.5056371194011761,0.40947468775623247,True,133,0.16332228380934635,-12.06766917293233,12.06766917293233,0.0014511803935344954,0.004284690197249104,0.0,0.0,12.06766917293233,"{""loose_support_count_fallback"": 133}",5,9,0.07536488956619722
even,common_target,high,mid,high,14,0.3755779947553362,-0.03622617040361677,-0.17661072526659286,-0.23519343989236013,True,65,0.13981596873356747,-16.46153846153846,16.46153846153846,0.042414247072660005,0.043576790736271784,0.0,0.0,16.46153846153846,"{""loose_support_count_fallback"": 65}",3,8,0.23576202602176874
even,common_target,low,high,high,11,0.061018185182051224,0.20144503766840155,0.2112304080616344,-0.07080355557528409,True,51,0.023970360849417893,-16.666666666666668,16.666666666666668,0.039149116067325365,0.0404661589977788,0.0,0.0,16.666666666666668,"{""loose_support_count_fallback"": 51}",3,8,0.03704782433263333
even,common_target,low,high,mid,23,0.16329785015272058,0.2200123745462169,-0.03222761983456819,0.0889421442280645,True,57,0.1147889630836353,-12.017543859649123,12.017543859649123,-0.0006555507057591489,0.002494669797127707,0.0,0.0,12.017543859649123,"{""loose_support_count_fallback"": 57}",5,10,0.04850888706908528
even,common_target,low,low,high,23,0.1691070950549582,-0.3465076322140901,-0.4091980042664901,-0.10641672300255817,True,47,0.31229781597218614,-16.425531914893618,16.425531914893618,0.0548647718226656,0.05575797912922311,0.0,0.0,16.425531914893618,"{""loose_support_count_fallback"": 47}",3,8,-0.14319072091722795
even,common_target,low,low,mid,42,0.2824935856319609,-0.3314010529291062,-0.3477455150513422,-0.2661491235097249,True,69,0.24959531037703805,-11.81159420289855,11.81159420289855,0.0035302673560985622,0.005610355432482733,0.0,0.0,11.81159420289855,"{""loose_support_count_fallback"": 69}",5,9,0.032898275254922865
even,common_target,low,mid,high,32,0.2541305720806122,-0.059148140251636505,-0.1006874293088913,-0.2125912830233574,True,67,0.2722700318293785,-16.53731343283582,16.53731343283582,0.04109701469763002,0.04222485556531308,0.0,0.0,16.53731343283582,"{""loose_support_count_fallback"": 67}",3,8,-0.018139459748766296
even,common_target,low,mid,mid,36,0.1495078206062317,-0.0948887202474806,-0.1094663209385342,-0.1349302199151781,True,101,0.2070246970299447,-12.03960396039604,12.03960396039604,0.0023313087992148825,0.004805139975972695,0.0,0.0,12.03960396039604,"{""loose_support_count_fallback"": 101}",5,10,-0.057516876423713004
even,rare_target,low,high,high,12,0.1034658153851827,0.2634567419687907,0.23923631509145102,-0.07924538850784302,True,33,0.20853114128112793,-16.181818181818183,16.181818181818183,0.04717329776648319,0.04717329776648319,0.0,0.0,16.181818181818183,"{""loose_support_count_fallback"": 33}",3,7,-0.10506532589594524
even,rare_target,low,high,mid,24,0.009633044401804606,0.22224436203638712,0.1786677340666453,0.03394358356793722,True,48,0.14750312268733978,-11.9375,11.9375,0.004674623409907023,0.006591627995173137,0.0,0.0,11.9375,"{""loose_support_count_fallback"": 48}",5,9,-0.13787007828553519
even,rare_target,low,low,high,21,0.21952437219165621,-0.3380998997461228,-0.36046894391377765,-0.19715532802400135,True,68,0.27650917277616616,-16.558823529411764,16.558823529411764,0.03913335239186006,0.04110891678754021,0.0,0.0,16.558823529411764,"{""loose_support_count_fallback"": 68}",3,7,-0.05698480058450994
even,rare_target,low,low,mid,57,0.11289760940953304,-0.34593690487376433,-0.3108142551622893,-0.14802025912100808,True,73,0.23617876719122063,-12.04109589041096,12.04109589041096,0.0040996629897862265,0.005993451157661333,0.0,0.0,12.04109589041096,"{""loose_support_count_fallback"": 73}",5,9,-0.12328115778168759
even,rare_target,low,mid,high,30,0.22580448786417642,-0.06863346099853515,-0.07160360018412272,-0.22283434867858887,True,85,0.3058121036080753,-16.541176470588237,16.541176470588237,0.044924051621380974,0.04581305559943704,0.0,0.0,16.541176470588237,"{""loose_support_count_fallback"": 85}",3,8,-0.08000761574389889
even,rare_target,low,mid,mid,35,0.1082836627960205,-0.10944214548383441,-0.1301471165248326,-0.08757869175502232,True,85,0.21943016893723433,-12.023529411764706,12.023529411764706,0.0021062907050637637,0.004667927237117992,0.0,0.0,12.023529411764706,"{""loose_support_count_fallback"": 85}",5,10,-0.11114650614121382
odd,common_target,high,high,high,42,0.026544820694696335,1.3009651104609172,0.2314299572081793,1.0429903325580416,True,109,0.016845926232294205,-16.513761467889907,16.513761467889907,0.05443069912971706,0.05535504577356741,0.0,0.0,16.513761467889907,"{""loose_support_count_fallback"": 109}",3,8,0.00969889446240213
