position_bin,token_class,residual_norm_bin,residual_gain_bin,support_count_bin,observed_row_count,observed_pair_synergy_mean,observed_pair_gain_mean,observed_singleton_left_gain_mean,observed_singleton_right_gain_mean,control_present,control_row_count,control_pair_synergy_mean,control_support_count_difference_mean,control_support_count_difference_abs_mean,control_fixed_support_loss_difference_mean,control_fixed_support_loss_difference_abs_mean,control_exact_support_count_candidate_count_mean,control_near_support_count_candidate_count_mean,control_min_support_count_abs_difference_available_mean,control_match_status_counts,control_anchor_support_count,control_support_count,observed_minus_control_pair_synergy
even,common_target,high,high,mid,53,0.23868717337554357,1.153798980532952,0.5056371194011761,0.40947468775623247,True,133,0.10702988975926449,-11.962406015037594,11.962406015037594,0.03440082162842715,0.0629868865909433,0.0,0.0,11.962406015037594,"{""loose_support_count_fallback"": 133}",5,10,0.1316572836162791
even,common_target,high,mid,high,14,0.3755779947553362,-0.03622617040361677,-0.17661072526659286,-0.23519343989236013,True,56,0.10670094404901777,-16.178571428571427,16.178571428571427,0.06278306245803833,0.06278306245803833,0.0,0.0,16.178571428571427,"{""loose_support_count_fallback"": 56}",3,7,0.26887705070631845
even,common_target,low,high,high,11,0.061018185182051224,0.20144503766840155,0.2112304080616344,-0.07080355557528409,True,63,0.04478127237350222,-16.444444444444443,16.444444444444443,0.07153900085933625,0.07153900085933625,0.0,0.0,16.444444444444443,"{""loose_support_count_fallback"": 63}",3,8,0.016236912808549005
even,common_target,low,high,mid,23,0.16329785015272058,0.2200123745462169,-0.03222761983456819,0.0889421442280645,True,48,0.06363629301389058,-12.083333333333334,12.083333333333334,0.032539705435434975,0.06958140929539998,0.0,0.0,12.083333333333334,"{""loose_support_count_fallback"": 48}",5,10,0.09966155713883
even,common_target,low,low,high,23,0.1691070950549582,-0.3465076322140901,-0.4091980042664901,-0.10641672300255817,True,37,0.32904055311873154,-16.0,16.0,0.06702055802216401,0.06702055802216401,0.0,0.0,16.0,"{""loose_support_count_fallback"": 37}",2,6,-0.15993345806377335
even,common_target,low,low,mid,42,0.2824935856319609,-0.3314010529291062,-0.3477455150513422,-0.2661491235097249,True,67,0.28478775095583786,-12.08955223880597,12.08955223880597,0.029303237573424384,0.05558301441705049,0.0,0.0,12.08955223880597,"{""loose_support_count_fallback"": 67}",5,9,-0.00229416532387694
even,common_target,low,mid,high,32,0.2541305720806122,-0.059148140251636505,-0.1006874293088913,-0.2125912830233574,True,77,0.2257876272325392,-16.7012987012987,16.7012987012987,0.06132533952787325,0.06132533952787325,0.0,0.0,16.7012987012987,"{""loose_support_count_fallback"": 77}",3,8,0.028342944848072982
even,common_target,low,mid,mid,36,0.1495078206062317,-0.0948887202474806,-0.1094663209385342,-0.1349302199151781,True,99,0.17933257902511443,-12.05050505050505,12.05050505050505,0.05169648353499596,0.06993102545690055,0.0,0.0,12.05050505050505,"{""loose_support_count_fallback"": 99}",5,10,-0.02982475841888274
even,rare_target,low,high,high,12,0.1034658153851827,0.2634567419687907,0.23923631509145102,-0.07924538850784302,True,30,0.15019783178965251,-16.466666666666665,16.466666666666665,0.08066528638203939,0.08066528638203939,0.0,0.0,16.466666666666665,"{""loose_support_count_fallback"": 30}",3,7,-0.04673201640446982
even,rare_target,low,high,mid,24,0.009633044401804606,0.22224436203638712,0.1786677340666453,0.03394358356793722,True,38,0.16725934806622958,-11.894736842105264,11.894736842105264,0.05279227306968287,0.06440012078536184,0.0,0.0,11.894736842105264,"{""loose_support_count_fallback"": 38}",5,9,-0.15762630366442498
even,rare_target,low,low,high,21,0.21952437219165621,-0.3380998997461228,-0.36046894391377765,-0.19715532802400135,True,39,0.30774718675857937,-16.0,16.0,0.0534980113689716,0.0534980113689716,0.0,0.0,16.0,"{""loose_support_count_fallback"": 39}",2,6,-0.08822281456692316
even,rare_target,low,low,mid,57,0.11289760940953304,-0.34593690487376433,-0.3108142551622893,-0.14802025912100808,True,56,0.25542370336396353,-12.017857142857142,12.017857142857142,0.028037326676504954,0.06448735509599958,0.0,0.0,12.017857142857142,"{""loose_support_count_fallback"": 56}",5,9,-0.1425260939544305
even,rare_target,low,mid,high,30,0.22580448786417642,-0.06863346099853515,-0.07160360018412272,-0.22283434867858887,True,93,0.31423047793808806,-16.752688172043012,16.752688172043012,0.06824503662765667,0.06824503662765667,0.0,0.0,16.752688172043012,"{""loose_support_count_fallback"": 93}",3,8,-0.08842599007391164
even,rare_target,low,mid,mid,35,0.1082836627960205,-0.10944214548383441,-0.1301471165248326,-0.08757869175502232,True,105,0.16914594286964052,-11.895238095238096,11.895238095238096,0.048540465037028,0.06951040086292085,0.0,0.0,11.895238095238096,"{""loose_support_count_fallback"": 105}",5,10,-0.06086228007362002
odd,common_target,high,high,high,42,0.026544820694696335,1.3009651104609172,0.2314299572081793,1.0429903325580416,True,100,0.06120349407196045,-16.56,16.56,0.06199104309082031,0.06199104309082031,0.0,0.0,16.56,"{""loose_support_count_fallback"": 100}",3,8,-0.03465867337726411
odd,common_target,high,mid,high,6,0.25776489575703937,-0.0643317699432373,-0.12235665321350098,-0.19974001248677573,True,34,0.1240244051989387,-16.176470588235293,16.176470588235293,0.06254849714391372,0.06254849714391372,0.0,0.0,16.176470588235293,"{""loose_support_count_fallback"": 34}",3,7,0.13374049055810067
odd,common_target,low,high,high,9,0.07956165737575954,0.19275789790683323,0.19742878278096518,-0.08423254224989149,True,64,0.06856898963451385,-16.5625,16.5625,0.07203332334756851,0.07203332334756851,0.0,0.0,16.5625,"{""loose_support_count_fallback"": 64}",3,8,0.010992667741245687
odd,common_target,low,high,mid,19,0.12271622607582494,0.15072304324099892,0.05752365212691458,-0.029516834961740596,True,70,0.08401336669921874,-11.914285714285715,11.914285714285715,0.04146949223109654,0.06979975019182477,0.0,0.0,11.914285714285715,"{""loose_support_count_fallback"": 70}",5,10,0.0387028593766062
odd,common_target,low,low,high,24,0.14295987288157144,-0.32270068923632306,-0.3425184388955434,-0.12314212322235107,True,43,0.3621463332065316,-16.0,16.0,0.06597279393395712,0.06597279393395712,0.0,0.0,16.0,"{""loose_support_count_fallback"": 43}",2,6,-0.21918646032496017
odd,common_target,low,low,mid,46,0.22355315996252972,-0.3343283404474673,-0.30662667751312256,-0.25125482289687445,True,85,0.2736938729005701,-12.16470588235294,12.16470588235294,0.03469961390775793,0.0618102185866412,0.0,0.0,12.16470588235294,"{""loose_support_count_fallback"": 85}",5,9,-0.0501407129380404
odd,common_target,low,mid,high,30,0.2617799679438273,-0.06726189454396565,-0.13930822213490804,-0.18973364035288492,True,105,0.2120524111248198,-16.590476190476192,16.590476190476192,0.0653513681320917,0.0653513681320917,0.0,0.0,16.590476190476192,"{""loose_support_count_fallback"": 105}",3,8,0.04972755681900751
odd,common_target,low,mid,mid,47,0.19602764413711873,-0.11507476137039509,-0.13335091002444002,-0.17775149548307378,True,122,0.19291164054245244,-11.967213114754099,11.967213114754099,0.03992205369667929,0.06662935116251961,0.0,0.0,11.967213114754099,"{""loose_support_count_fallback"": 122}",5,10,0.0031160035946662945
odd,rare_target,low,high,high,11,0.19344045899131082,0.30250547148964624,0.24864493716846814,-0.13957992467013272,True,33,0.15003368348786325,-16.424242424242426,16.424242424242426,0.0774498852816495,0.0774498852816495,0.0,0.0,16.424242424242426,"{""loose_support_count_fallback"": 33}",3,7,0.04340677550344757
odd,rare_target,low,high,mid,22,0.04656623710285534,0.18558562885631213,0.058581634001298385,0.08043775775215843,True,37,0.1523326860891806,-11.972972972972974,11.972972972972974,0.03544214609506968,0.0688028335571289,0.0,0.0,11.972972972972974,"{""loose_support_count_fallback"": 37}",5,10,-0.10576644898632526
