position_bin,token_class,residual_norm_bin,residual_gain_bin,support_count_bin,observed_row_count,observed_pair_synergy_mean,observed_pair_gain_mean,observed_singleton_left_gain_mean,observed_singleton_right_gain_mean,control_present,control_row_count,control_pair_synergy_mean,control_support_count_difference_mean,control_support_count_difference_abs_mean,control_fixed_support_loss_difference_mean,control_fixed_support_loss_difference_abs_mean,control_exact_support_count_candidate_count_mean,control_near_support_count_candidate_count_mean,control_min_support_count_abs_difference_available_mean,control_match_status_counts,control_anchor_support_count,control_support_count,observed_minus_control_pair_synergy
even,common_target,high,high,mid,53,0.23868717337554357,1.153798980532952,0.5056371194011761,0.40947468775623247,True,84,0.23629652318500338,-12.011904761904763,12.011904761904763,0.056051600547063915,0.05664193630218506,0.0,0.0,12.011904761904763,"{""loose_support_count_fallback"": 84}",5,10,0.002390650190540189
even,common_target,high,mid,high,14,0.3755779947553362,-0.03622617040361677,-0.17661072526659286,-0.23519343989236013,True,54,0.2559929158952501,-16.22222222222222,16.22222222222222,0.07724790219907407,0.07724790219907407,0.0,0.0,16.22222222222222,"{""loose_support_count_fallback"": 54}",3,8,0.11958507886008612
even,common_target,low,high,high,11,0.061018185182051224,0.20144503766840155,0.2112304080616344,-0.07080355557528409,True,50,0.13727666854858397,-16.4,16.4,0.10234102249145507,0.10234102249145507,0.0,0.0,16.4,"{""loose_support_count_fallback"": 50}",3,8,-0.07625848336653275
even,common_target,low,high,mid,23,0.16329785015272058,0.2200123745462169,-0.03222761983456819,0.0889421442280645,True,59,0.09041216009754245,-12.23728813559322,12.23728813559322,0.07685342077481544,0.07700623496104095,0.0,0.0,12.23728813559322,"{""loose_support_count_fallback"": 59}",5,10,0.07288569005517813
even,common_target,low,low,high,23,0.1691070950549582,-0.3465076322140901,-0.4091980042664901,-0.10641672300255817,True,62,0.2671559895238569,-16.483870967741936,16.483870967741936,0.09677913881117298,0.09677913881117298,0.0,0.0,16.483870967741936,"{""loose_support_count_fallback"": 62}",3,8,-0.0980488944688987
even,common_target,low,low,mid,42,0.2824935856319609,-0.3314010529291062,-0.3477455150513422,-0.2661491235097249,True,74,0.30521487867509994,-12.0,12.0,0.07159694465431007,0.07177970216080949,0.0,0.0,12.0,"{""loose_support_count_fallback"": 74}",5,10,-0.022721293043139024
even,common_target,low,mid,high,32,0.2541305720806122,-0.059148140251636505,-0.1006874293088913,-0.2125912830233574,True,70,0.17269045625414167,-16.428571428571427,16.428571428571427,0.09475059509277343,0.09475059509277343,0.0,0.0,16.428571428571427,"{""loose_support_count_fallback"": 70}",3,8,0.08144011582647051
even,common_target,low,mid,mid,36,0.1495078206062317,-0.0948887202474806,-0.1094663209385342,-0.1349302199151781,True,101,0.22746766203700905,-11.900990099009901,11.900990099009901,0.05947325489308575,0.0599195933578038,0.0,0.0,11.900990099009901,"{""loose_support_count_fallback"": 101}",5,10,-0.07795984143077736
even,rare_target,low,high,high,12,0.1034658153851827,0.2634567419687907,0.23923631509145102,-0.07924538850784302,True,17,0.1782545201918658,-16.705882352941178,16.705882352941178,0.10646671407362994,0.10646671407362994,0.0,0.0,16.705882352941178,"{""loose_support_count_fallback"": 17}",3,7,-0.0747887048066831
even,rare_target,low,high,mid,24,0.009633044401804606,0.22224436203638712,0.1786677340666453,0.03394358356793722,True,45,0.15838239987691244,-11.733333333333333,11.733333333333333,0.05629405975341797,0.056494416130913626,0.0,0.0,11.733333333333333,"{""loose_support_count_fallback"": 45}",5,10,-0.14874935547510784
even,rare_target,low,low,high,21,0.21952437219165621,-0.3380998997461228,-0.36046894391377765,-0.19715532802400135,True,61,0.28060305704835986,-16.39344262295082,16.39344262295082,0.10028740617095447,0.10028740617095447,0.0,0.0,16.39344262295082,"{""loose_support_count_fallback"": 61}",3,8,-0.06107868485670365
even,rare_target,low,low,mid,57,0.11289760940953304,-0.34593690487376433,-0.3108142551622893,-0.14802025912100808,True,80,0.27760369777679444,-12.0625,12.0625,0.04237876534461975,0.043336719274520874,0.0,0.0,12.0625,"{""loose_support_count_fallback"": 80}",5,9,-0.16470608836726142
even,rare_target,low,mid,high,30,0.22580448786417642,-0.06863346099853515,-0.07160360018412272,-0.22283434867858887,True,63,0.3379172294858902,-16.73015873015873,16.73015873015873,0.1021987899901375,0.1021987899901375,0.0,0.0,16.73015873015873,"{""loose_support_count_fallback"": 63}",3,8,-0.11211274162171378
even,rare_target,low,mid,mid,35,0.1082836627960205,-0.10944214548383441,-0.1301471165248326,-0.08757869175502232,True,65,0.20760559302109938,-12.107692307692307,12.107692307692307,0.06266039334810697,0.06321522639347957,0.0,0.0,12.107692307692307,"{""loose_support_count_fallback"": 65}",5,10,-0.09932193022507887
odd,common_target,high,high,high,42,0.026544820694696335,1.3009651104609172,0.2314299572081793,1.0429903325580416,True,112,0.12634570683751786,-16.482142857142858,16.482142857142858,0.10740586263792855,0.10740586263792855,0.0,0.0,16.482142857142858,"{""loose_support_count_fallback"": 112}",3,8,-0.09980088614282152
odd,common_target,high,mid,high,6,0.25776489575703937,-0.0643317699432373,-0.12235665321350098,-0.19974001248677573,True,50,0.1750635576248169,-16.32,16.32,0.0799098014831543,0.0799098014831543,0.0,0.0,16.32,"{""loose_support_count_fallback"": 50}",3,8,0.08270133813222247
odd,common_target,low,high,high,9,0.07956165737575954,0.19275789790683323,0.19742878278096518,-0.08423254224989149,True,50,0.15322615146636964,-16.64,16.64,0.09249702453613282,0.09249702453613282,0.0,0.0,16.64,"{""loose_support_count_fallback"": 50}",3,8,-0.0736644940906101
odd,common_target,low,high,mid,19,0.12271622607582494,0.15072304324099892,0.05752365212691458,-0.029516834961740596,True,62,0.109510560189524,-12.080645161290322,12.080645161290322,0.075391907845774,0.07553732779718214,0.0,0.0,12.080645161290322,"{""loose_support_count_fallback"": 62}",5,10,0.01320566588630094
odd,common_target,low,low,high,24,0.14295987288157144,-0.32270068923632306,-0.3425184388955434,-0.12314212322235107,True,82,0.2109970435863588,-16.414634146341463,16.414634146341463,0.09757686242824648,0.09757686242824648,0.0,0.0,16.414634146341463,"{""loose_support_count_fallback"": 82}",3,8,-0.06803717070478735
odd,common_target,low,low,mid,46,0.22355315996252972,-0.3343283404474673,-0.30662667751312256,-0.25125482289687445,True,78,0.35725428813543075,-12.08974358974359,12.08974358974359,0.061883431214552656,0.06228799697680351,0.0,0.0,12.08974358974359,"{""loose_support_count_fallback"": 78}",5,10,-0.13370112817290103
odd,common_target,low,mid,high,30,0.2617799679438273,-0.06726189454396565,-0.13930822213490804,-0.18973364035288492,True,98,0.16279305730547225,-16.448979591836736,16.448979591836736,0.09384690985387685,0.09384690985387685,0.0,0.0,16.448979591836736,"{""loose_support_count_fallback"": 98}",3,8,0.09898691063835505
odd,common_target,low,mid,mid,47,0.19602764413711873,-0.11507476137039509,-0.13335091002444002,-0.17775149548307378,True,130,0.23034485303438626,-11.96923076923077,11.96923076923077,0.05656956525949331,0.05719375243553748,0.0,0.0,11.96923076923077,"{""loose_support_count_fallback"": 130}",5,10,-0.034317208897267526
odd,rare_target,low,high,high,11,0.19344045899131082,0.30250547148964624,0.24864493716846814,-0.13957992467013272,True,27,0.1191574114340323,-16.666666666666668,16.666666666666668,0.09922193597864222,0.09922193597864222,0.0,0.0,16.666666666666668,"{""loose_support_count_fallback"": 27}",3,8,0.07428304755727852
odd,rare_target,low,high,mid,22,0.04656623710285534,0.18558562885631213,0.058581634001298385,0.08043775775215843,True,41,0.15792849587231148,-11.658536585365853,11.658536585365853,0.05182070848418445,0.05215056349591511,0.0,0.0,11.658536585365853,"{""loose_support_count_fallback"": 41}",5,9,-0.11136225876945613
odd,rare_target,low,low,high,22,0.19615491953763095,-0.3544481559233232,-0.37831285866824066,-0.1722902167927135,True,45,0.3230436642964681,-16.31111111111111,16.31111111111111,0.10416752497355143,0.10416752497355143,0.0,0.0,16.31111111111111,"{""loose_support_count_fallback"": 45}",3,8,-0.12688874475883713
odd,rare_target,low,low,mid,38,0.11765977583433453,-0.3423269610655935,-0.2943240717837685,-0.16566266511615954,True,54,0.27739114231533474,-11.944444444444445,11.944444444444445,0.04970788072656702,0.05020877167030617,0.0,0.0,11.944444444444445,"{""loose_support_count_fallback"": 54}",5,9,-0.15973136648100023
odd,rare_target,low,mid,high,27,0.25029035850807474,-0.03952645372461389,-0.05348462528652615,-0.23633218694616248,True,47,0.2829988763687458,-16.680851063829788,16.680851063829788,0.10339407210654401,0.10339407210654401,0.0,0.0,16.680851063829788,"{""loose_support_count_fallback"": 47}",3,8,-0.03270851786067108
odd,rare_target,low,mid,mid,31,0.13706346481077133,-0.09057946358957598,-0.09550107679059429,-0.13214185160975303,True,51,0.1869643949994854,-12.098039215686274,12.098039215686274,0.072172997044582,0.07270335216148227,0.0,0.0,12.098039215686274,"{""loose_support_count_fallback"": 51}",5,10,-0.049900930188714054
