position_bin,token_class,residual_norm_bin,residual_gain_bin,support_count_bin,topk2_active_rank_proxy,topk1_active_rank_proxy,topk2_row_count,topk1_row_count,topk2_router_support_count_mean,topk1_router_support_count_mean,topk2_router_loss_mean,topk1_router_loss_mean,topk2_fixed_support_loss_delta_mean,topk1_fixed_support_loss_delta_mean,topk2_fixed_delta_minus_topk1,topk2_fixed_support_logit_mse_mean,topk1_fixed_support_logit_mse_mean,topk2_logit_mse_minus_topk1,topk2_residual_stream_l2_delta_mean,topk1_residual_stream_l2_delta_mean,topk2_residual_stream_l2_delta_minus_topk1,topk2_pair_synergy_mean
even,common_target,high,high,low,2,1,53,1,12.11320754716981,13.0,2.676911475523463,2.0421502590179443,0.26919921389165913,0.9057061672210693,-0.6365069533294102,0.05210694923715782,0.2477872520685196,-0.19568030283136179,1.1554717926102611,6.255466938018799,-5.0999951454085375,0.23868718687093482
even,common_target,high,high,mid,2,1,14,1,16.0,17.0,2.3753412621361867,2.6854453086853027,0.0,1.6219301223754883,-1.6219301223754883,0.0,0.25739943981170654,-0.25739943981170654,0.0,6.392968654632568,-6.392968654632568,0.022176282746451243
even,common_target,high,mid,high,2,1,11,1,18.0,19.0,2.406251614744013,1.8970165252685547,1.7237541350451382,1.9184422492980957,-0.1946881142529575,0.2860572094267065,0.34677886962890625,-0.06072166020219977,6.114612145857378,6.758387565612793,-0.6437754197554151,0.387331637469205
even,common_target,low,high,high,2,1,10,48,18.0,19.0,2.9809699058532715,2.8490397135416665,0.9990496635437012,0.8104698657989502,0.18857979774475098,0.284235318005085,0.18961961443225542,0.09461570357282958,5.9784543991088865,4.604610810677211,1.3738435884316758,0.050554513931274414
even,common_target,low,high,low,2,1,23,89,12.26086956521739,13.0,2.985168985698534,2.7152383347575584,1.0710253093553626,0.8234770934233505,0.24754821593201204,0.24697794084963592,0.23180816925308678,0.015169771596549142,5.659675950589388,5.264173105861364,0.395502844728024,0.1632979745450227
even,common_target,low,high,mid,2,1,1,48,16.0,15.9375,4.355979919433594,2.672527987509966,0.19247007369995117,1.0083448973794777,-0.8158748236795266,0.29385828971862793,0.20234676419446865,0.09151152552415928,6.058797359466553,5.163524389266968,0.895272970199585,0.16565608978271484
even,common_target,low,low,high,2,1,11,42,18.0,19.0,2.3173092278567227,2.8328878723439717,1.654180028221824,1.7177957452478863,-0.06361571702606228,0.31693443249572406,0.34586385637521744,-0.028929423879493377,6.029749090021307,6.850126266479492,-0.8203771764581855,0.15169709379022772
even,common_target,low,low,low,2,1,42,84,12.0,13.0,2.3487682966958907,2.671159775484176,1.7588417530059814,1.9240187917436873,-0.16517703873770584,0.32910129463388804,0.37713094374963213,-0.04802964911574409,6.126183736891973,6.896283155395871,-0.7700994185038974,0.28249354589553105
even,common_target,low,low,mid,2,1,12,44,16.0,15.5,2.254498521486918,2.861598537726836,1.8833551406860352,1.646799778396433,0.23655536228960217,0.32387904574473697,0.3558728735555302,-0.03199382781079324,6.020345369974772,7.028355826031078,-1.0080104560563052,0.18506638209025064
even,common_target,low,mid,high,2,1,4,49,18.0,19.0,2.2394659519195557,2.5931237583257714,1.7399940490722656,1.3848195015167704,0.35517454755549527,0.29483526945114136,0.2972694221807986,-0.0024341527296572463,5.990165114402771,6.685649190630231,-0.6954840762274603,0.367323637008667
