step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,initial,supervised_ce_focal,3.70722270,3.51527071,3.70722270,0.00000000,0.00000000,0.00000000,,,,,,cpu,,ok
1,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.50460577,3.70722270,6.39986992,0.00000000,0.00000000,,,,,,cpu,,ok
2,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.49406099,3.70722270,12.79435253,0.00000000,0.00000000,,,,,,cpu,,ok
3,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.48363948,3.70722270,19.17882347,0.00000000,0.00000000,,,,,,cpu,,ok
4,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.47334385,3.70722270,25.54682732,0.00000000,0.00000000,,,,,,cpu,,ok
5,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.46317863,3.70722270,31.89013672,0.00000000,0.00000000,,,,,,cpu,,ok
6,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.45314503,3.70722270,38.20065308,0.00000000,0.00000000,,,,,,cpu,,ok
7,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.44324565,3.70722270,44.47295761,0.00000000,0.00000000,,,,,,cpu,,ok
8,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.43348193,3.70722270,50.70424271,0.00000000,0.00000000,,,,,,cpu,,ok
9,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.42385697,3.70722270,56.89270020,0.00000000,0.00000000,,,,,,cpu,,ok
10,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.41437244,3.70722270,63.03678131,0.00000000,0.00000000,,,,,,cpu,,ok
11,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.40503025,3.70722270,69.13512421,0.00000000,0.00000000,,,,,,cpu,,ok
12,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.39583254,3.70722270,75.18663788,0.00000000,0.00000000,,,,,,cpu,,ok
13,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.38678169,3.70722270,81.19036865,0.00000000,0.00000000,,,,,,cpu,,ok
14,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.37787914,3.70722270,87.18894958,0.00000000,0.00000000,,,,,,cpu,,ok
15,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.36912656,3.70722270,93.17170715,0.00000000,0.00000000,,,,,,cpu,,ok
16,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.36052608,3.70722270,99.10571289,0.00000000,0.00000000,,,,,,cpu,,ok
17,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.35207915,3.70722270,104.98918152,0.00000000,0.00000000,,,,,,cpu,,ok
18,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.34378695,3.70722270,110.82043457,0.00000000,0.00000000,,,,,,cpu,,ok
19,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.33565044,3.70722270,116.61896515,0.00000000,0.00000000,,,,,,cpu,,ok
20,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.32767129,3.70722270,122.42098236,0.00000000,0.00000000,,,,,,cpu,,ok
21,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.31984973,3.70722270,128.16929626,0.00000000,0.00000000,,,,,,cpu,,ok
22,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.31218648,3.70722270,133.86277771,0.00000000,0.00000000,,,,,,cpu,,ok
23,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.30468273,3.70722270,139.56204224,0.00000000,0.00000000,,,,,,cpu,,ok
24,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.29733777,3.70722270,145.23348999,0.00000000,0.00000000,,,,,,cpu,,ok
25,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.29015255,3.70722270,150.84956360,0.00000000,0.00000000,,,,,,cpu,,ok
26,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.28312683,3.70722270,156.40931702,0.00000000,0.00000000,,,,,,cpu,,ok
27,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.27626014,3.70722270,161.91192627,0.00000000,0.00000000,,,,,,cpu,,ok
28,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722270,3.26955175,3.70722270,167.35661316,0.00000000,0.00000000,,,,,,cpu,,ok
