step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,char_xxlarge_hep_temporal_clipped_objective_gate,initial,supervised_ce,3.70722270,3.70722270,3.70722270,0.00000000,0.00000000,0.00000000,,,,,,cpu,,ok
1,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722270,3.69776630,3.70722270,6.39981699,0.00000000,0.00000000,,,,,,cpu,,ok
2,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722270,3.68843365,3.70722270,12.75567818,0.00000000,0.00000000,,,,,,cpu,,ok
3,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722270,3.67922568,3.70722270,19.01659393,0.00000000,0.00000000,,,,,,cpu,,ok
4,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722270,3.67014146,3.70722270,25.19235039,0.00000000,0.00000000,,,,,,cpu,,ok
5,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722270,3.66118360,3.70722270,31.31772995,0.00000000,0.00000000,,,,,,cpu,,ok
6,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722270,3.65235567,3.70722270,37.44978333,0.00000000,0.00000000,,,,,,cpu,,ok
7,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722270,3.64365768,3.70722270,43.56660461,0.00000000,0.00000000,,,,,,cpu,,ok
8,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722270,3.63509321,3.70722270,49.72603226,0.00000000,0.00000000,,,,,,cpu,,ok
9,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722270,3.62666368,3.70722270,55.91965485,0.00000000,0.00000000,,,,,,cpu,,ok
10,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722270,3.61837029,3.70722270,62.09795761,0.00000000,0.00000000,,,,,,cpu,,ok
11,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722270,3.61021519,3.70722270,68.24068451,0.00000000,0.00000000,,,,,,cpu,,ok
12,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722270,3.60220003,3.70722270,74.34538269,0.00000000,0.00000000,,,,,,cpu,,ok
