step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,initial,supervised_ce_focal,3.76073313,3.57782531,3.76073313,0.00000000,0.00000000,0.00000000,,,,,,cpu,,ok
1,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.56590509,3.76073313,6.39987755,0.00000000,0.00000000,,,,,,cpu,,ok
2,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.55411863,3.76073313,12.78494263,0.00000000,0.00000000,,,,,,cpu,,ok
3,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.54246855,3.76073313,19.13483238,0.00000000,0.00000000,,,,,,cpu,,ok
4,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.53095818,3.76073313,25.45136452,0.00000000,0.00000000,,,,,,cpu,,ok
5,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.51959133,3.76073313,31.73826218,0.00000000,0.00000000,,,,,,cpu,,ok
6,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.50837302,3.76073313,37.99342346,0.00000000,0.00000000,,,,,,cpu,,ok
7,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.49730492,3.76073313,44.27443695,0.00000000,0.00000000,,,,,,cpu,,ok
8,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.48639178,3.76073313,50.52639008,0.00000000,0.00000000,,,,,,cpu,,ok
9,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.47563601,3.76073313,56.74132156,0.00000000,0.00000000,,,,,,cpu,,ok
10,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.46504259,3.76073313,62.91794586,0.00000000,0.00000000,,,,,,cpu,,ok
11,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.45461392,3.76073313,69.05599976,0.00000000,0.00000000,,,,,,cpu,,ok
12,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.44435358,3.76073313,75.15560913,0.00000000,0.00000000,,,,,,cpu,,ok
13,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.43426514,3.76073313,81.21680450,0.00000000,0.00000000,,,,,,cpu,,ok
14,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.42435217,3.76073313,87.23940277,0.00000000,0.00000000,,,,,,cpu,,ok
15,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.41461825,3.76073313,93.22288513,0.00000000,0.00000000,,,,,,cpu,,ok
16,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.40506577,3.76073313,99.16647339,0.00000000,0.00000000,,,,,,cpu,,ok
17,2,char_xxlarge_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,3.76073313,3.39569783,3.76073313,105.06895447,0.00000000,0.00000000,,,,,,cpu,,ok
