step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,initial,supervised_ce,3.76073313,3.76073313,3.76073313,0.00000000,0.00000000,0.00000000,,,,,,cpu,,ok
1,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.75012231,3.76073313,6.39983177,0.00000000,0.00000000,,,,,,cpu,,ok
2,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.73965216,3.76073313,12.78951073,0.00000000,0.00000000,,,,,,cpu,,ok
3,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.72932577,3.76073313,19.15276909,0.00000000,0.00000000,,,,,,cpu,,ok
4,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.71914697,3.76073313,25.48216057,0.00000000,0.00000000,,,,,,cpu,,ok
5,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.70911884,3.76073313,31.78034973,0.00000000,0.00000000,,,,,,cpu,,ok
6,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.69924521,3.76073313,38.04558945,0.00000000,0.00000000,,,,,,cpu,,ok
7,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.68952990,3.76073313,44.27359772,0.00000000,0.00000000,,,,,,cpu,,ok
8,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.67997646,3.76073313,50.51845551,0.00000000,0.00000000,,,,,,cpu,,ok
9,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.67058730,3.76073313,56.73274612,0.00000000,0.00000000,,,,,,cpu,,ok
10,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.66136575,3.76073313,62.90279388,0.00000000,0.00000000,,,,,,cpu,,ok
11,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.65231466,3.76073313,69.02472687,0.00000000,0.00000000,,,,,,cpu,,ok
12,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.64343452,3.76073313,75.09498596,0.00000000,0.00000000,,,,,,cpu,,ok
13,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.63472867,3.76073313,81.11053467,0.00000000,0.00000000,,,,,,cpu,,ok
14,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.62619805,3.76073313,87.06884003,0.00000000,0.00000000,,,,,,cpu,,ok
15,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.61784482,3.76073313,92.96794128,0.00000000,0.00000000,,,,,,cpu,,ok
16,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.60966921,3.76073313,98.80631256,0.00000000,0.00000000,,,,,,cpu,,ok
17,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.60167265,3.76073313,104.63233948,0.00000000,0.00000000,,,,,,cpu,,ok
18,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.59385633,3.76073313,110.41953278,0.00000000,0.00000000,,,,,,cpu,,ok
19,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.58622074,3.76073313,116.14477539,0.00000000,0.00000000,,,,,,cpu,,ok
20,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.57876611,3.76073313,121.80679321,0.00000000,0.00000000,,,,,,cpu,,ok
21,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.57149315,3.76073313,127.40424347,0.00000000,0.00000000,,,,,,cpu,,ok
22,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.56440210,3.76073313,132.93572998,0.00000000,0.00000000,,,,,,cpu,,ok
23,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.55749154,3.76073313,138.39968872,0.00000000,0.00000000,,,,,,cpu,,ok
24,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.55076241,3.76073313,143.82908630,0.00000000,0.00000000,,,,,,cpu,,ok
25,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.54421306,3.76073313,149.24398804,0.00000000,0.00000000,,,,,,cpu,,ok
26,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.53784251,3.76073313,154.58868408,0.00000000,0.00000000,,,,,,cpu,,ok
27,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.53164935,3.76073313,159.90113831,0.00000000,0.00000000,,,,,,cpu,,ok
28,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.52563214,3.76073313,165.22622681,0.00000000,0.00000000,,,,,,cpu,,ok
29,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.51978827,3.76073313,170.53179932,0.00000000,0.00000000,,,,,,cpu,,ok
30,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.51411581,3.76073313,175.76330566,0.00000000,0.00000000,,,,,,cpu,,ok
31,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.50861239,3.76073313,180.91870117,0.00000000,0.00000000,,,,,,cpu,,ok
32,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.50327420,3.76073313,185.99620056,0.00000000,0.00000000,,,,,,cpu,,ok
33,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.49809933,3.76073313,191.05691528,0.00000000,0.00000000,,,,,,cpu,,ok
34,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.49308419,3.76073313,196.06303406,0.00000000,0.00000000,,,,,,cpu,,ok
35,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.48822498,3.76073313,200.98812866,0.00000000,0.00000000,,,,,,cpu,,ok
36,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.48351884,3.76073313,205.83100891,0.00000000,0.00000000,,,,,,cpu,,ok
37,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.47896171,3.76073313,210.59068298,0.00000000,0.00000000,,,,,,cpu,,ok
38,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.47454953,3.76073313,215.26640320,0.00000000,0.00000000,,,,,,cpu,,ok
39,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.47027898,3.76073313,219.85769653,0.00000000,0.00000000,,,,,,cpu,,ok
40,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.46614599,3.76073313,224.36425781,0.00000000,0.00000000,,,,,,cpu,,ok
41,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.46214628,3.76073313,228.78599548,0.00000000,0.00000000,,,,,,cpu,,ok
42,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.45827556,3.76073313,233.12309265,0.00000000,0.00000000,,,,,,cpu,,ok
43,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.45453143,3.76073313,237.38764954,0.00000000,0.00000000,,,,,,cpu,,ok
44,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.45090818,3.76073313,241.67813110,0.00000000,0.00000000,,,,,,cpu,,ok
45,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.44740272,3.76073313,245.91076660,0.00000000,0.00000000,,,,,,cpu,,ok
46,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.44401121,3.76073313,250.05877686,0.00000000,0.00000000,,,,,,cpu,,ok
47,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.44072986,3.76073313,254.12283325,0.00000000,0.00000000,,,,,,cpu,,ok
48,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.43755436,3.76073313,258.10369873,0.00000000,0.00000000,,,,,,cpu,,ok
49,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.43448210,3.76073313,262.00234985,0.00000000,0.00000000,,,,,,cpu,,ok
50,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.43150830,3.76073313,265.81994629,0.00000000,0.00000000,,,,,,cpu,,ok
51,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.42863011,3.76073313,269.55767822,0.00000000,0.00000000,,,,,,cpu,,ok
52,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.42584443,3.76073313,273.21710205,0.00000000,0.00000000,,,,,,cpu,,ok
53,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.42314720,3.76073313,276.79949951,0.00000000,0.00000000,,,,,,cpu,,ok
54,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.42053533,3.76073313,280.30651855,0.00000000,0.00000000,,,,,,cpu,,ok
55,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.41800618,3.76073313,283.73977661,0.00000000,0.00000000,,,,,,cpu,,ok
56,2,char_xxlarge_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.76073313,3.41555667,3.76073313,287.14266968,0.00000000,0.00000000,,,,,,cpu,,ok
