step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,initial,supervised_ce_focal,3.65675950,3.46068215,3.65675950,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.44939351,3.65675950,5.11991358,0.00000000,0.00000000,,,,,,cuda,,ok
2,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.43821859,3.65675950,10.21952438,0.00000000,0.00000000,,,,,,cuda,,ok
3,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.42715859,3.65675950,15.27044868,0.00000000,0.00000000,,,,,,cuda,,ok
4,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.41621518,3.65675950,20.27884293,0.00000000,0.00000000,,,,,,cuda,,ok
5,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.40539241,3.65675950,25.25943947,0.00000000,0.00000000,,,,,,cuda,,ok
6,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.39469481,3.65675950,30.23839760,0.00000000,0.00000000,,,,,,cuda,,ok
7,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.38412523,3.65675950,35.24860382,0.00000000,0.00000000,,,,,,cuda,,ok
8,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.37368870,3.65675950,40.26039124,0.00000000,0.00000000,,,,,,cuda,,ok
9,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.36338902,3.65675950,45.30918884,0.00000000,0.00000000,,,,,,cuda,,ok
10,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.35323071,3.65675950,50.34448624,0.00000000,0.00000000,,,,,,cuda,,ok
11,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.34321713,3.65675950,55.36326599,0.00000000,0.00000000,,,,,,cuda,,ok
12,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.33335209,3.65675950,60.36262131,0.00000000,0.00000000,,,,,,cuda,,ok
13,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.32364035,3.65675950,65.33966827,0.00000000,0.00000000,,,,,,cuda,,ok
14,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.31408381,3.65675950,70.29161835,0.00000000,0.00000000,,,,,,cuda,,ok
15,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.30468798,3.65675950,75.21570587,0.00000000,0.00000000,,,,,,cuda,,ok
16,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.29545474,3.65675950,80.10920715,0.00000000,0.00000000,,,,,,cuda,,ok
17,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.28638721,3.65675950,84.96945190,0.00000000,0.00000000,,,,,,cuda,,ok
18,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.27748895,3.65675950,89.79379272,0.00000000,0.00000000,,,,,,cuda,,ok
19,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.26876283,3.65675950,94.57968140,0.00000000,0.00000000,,,,,,cuda,,ok
20,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.26021099,3.65675950,99.32466888,0.00000000,0.00000000,,,,,,cuda,,ok
21,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.25183606,3.65675950,104.02649689,0.00000000,0.00000000,,,,,,cuda,,ok
22,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.24363923,3.65675950,108.68313599,0.00000000,0.00000000,,,,,,cuda,,ok
23,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.23562384,3.65675950,113.29279327,0.00000000,0.00000000,,,,,,cuda,,ok
24,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.22779059,3.65675950,117.85394287,0.00000000,0.00000000,,,,,,cuda,,ok
25,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.22014117,3.65675950,122.36529541,0.00000000,0.00000000,,,,,,cuda,,ok
26,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.21267676,3.65675950,126.82571411,0.00000000,0.00000000,,,,,,cuda,,ok
27,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.20539832,3.65675950,131.23419189,0.00000000,0.00000000,,,,,,cuda,,ok
28,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.19830656,3.65675950,135.58984375,0.00000000,0.00000000,,,,,,cuda,,ok
29,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.19140196,3.65675950,139.89181519,0.00000000,0.00000000,,,,,,cuda,,ok
30,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.18468404,3.65675950,144.13923645,0.00000000,0.00000000,,,,,,cuda,,ok
31,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.17815304,3.65675950,148.33140564,0.00000000,0.00000000,,,,,,cuda,,ok
32,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.17180777,3.65675950,152.46749878,0.00000000,0.00000000,,,,,,cuda,,ok
33,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.16564822,3.65675950,156.54678345,0.00000000,0.00000000,,,,,,cuda,,ok
34,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.15967250,3.65675950,160.56854248,0.00000000,0.00000000,,,,,,cuda,,ok
35,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.15387869,3.65675950,164.53205872,0.00000000,0.00000000,,,,,,cuda,,ok
36,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.14826536,3.65675950,168.43659973,0.00000000,0.00000000,,,,,,cuda,,ok
37,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.14282942,3.65675950,172.32472229,0.00000000,0.00000000,,,,,,cuda,,ok
38,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.13756919,3.65675950,176.20602417,0.00000000,0.00000000,,,,,,cuda,,ok
39,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.13248086,3.65675950,180.06585693,0.00000000,0.00000000,,,,,,cuda,,ok
40,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.12756205,3.65675950,183.87461853,0.00000000,0.00000000,,,,,,cuda,,ok
41,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.12280822,3.65675950,187.62100220,0.00000000,0.00000000,,,,,,cuda,,ok
42,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.11821651,3.65675950,191.30398560,0.00000000,0.00000000,,,,,,cuda,,ok
43,1,char_xlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.65675950,3.11378288,3.65675950,194.92271423,0.00000000,0.00000000,,,,,,cuda,,ok
