step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,char_xlarge_hep_temporal_clipped_objective_gate,initial,supervised_ce,3.65675950,3.65675950,3.65675950,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.64681292,3.65675950,5.11989832,0.00000000,0.00000000,,,,,,cuda,,ok
2,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.63698220,3.65675950,10.23536301,0.00000000,0.00000000,,,,,,cuda,,ok
3,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.62727165,3.65675950,15.34479904,0.00000000,0.00000000,,,,,,cuda,,ok
4,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.61768508,3.65675950,20.44571686,0.00000000,0.00000000,,,,,,cuda,,ok
5,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.60822487,3.65675950,25.53480721,0.00000000,0.00000000,,,,,,cuda,,ok
6,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.59889507,3.65675950,30.60815430,0.00000000,0.00000000,,,,,,cuda,,ok
7,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.58969903,3.65675950,35.66179276,0.00000000,0.00000000,,,,,,cuda,,ok
8,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.58064008,3.65675950,40.69234467,0.00000000,0.00000000,,,,,,cuda,,ok
9,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.57172084,3.65675950,45.69734192,0.00000000,0.00000000,,,,,,cuda,,ok
10,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.56294489,3.65675950,50.67492676,0.00000000,0.00000000,,,,,,cuda,,ok
11,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.55431366,3.65675950,55.62348938,0.00000000,0.00000000,,,,,,cuda,,ok
12,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.54583192,3.65675950,60.54144669,0.00000000,0.00000000,,,,,,cuda,,ok
13,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.53750014,3.65675950,65.42724609,0.00000000,0.00000000,,,,,,cuda,,ok
14,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.52932262,3.65675950,70.27942657,0.00000000,0.00000000,,,,,,cuda,,ok
15,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.52130055,3.65675950,75.09667206,0.00000000,0.00000000,,,,,,cuda,,ok
16,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.51343656,3.65675950,79.87779999,0.00000000,0.00000000,,,,,,cuda,,ok
17,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.50573158,3.65675950,84.62171936,0.00000000,0.00000000,,,,,,cuda,,ok
18,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.49818969,3.65675950,89.32739258,0.00000000,0.00000000,,,,,,cuda,,ok
19,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.49081087,3.65675950,93.99378204,0.00000000,0.00000000,,,,,,cuda,,ok
20,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.48359656,3.65675950,98.64788818,0.00000000,0.00000000,,,,,,cuda,,ok
21,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.47654986,3.65675950,103.29251099,0.00000000,0.00000000,,,,,,cuda,,ok
22,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.46966982,3.65675950,107.89292145,0.00000000,0.00000000,,,,,,cuda,,ok
23,1,char_xlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.65675950,3.46295810,3.65675950,112.44721222,0.00000000,0.00000000,,,,,,cuda,,ok
