step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,initial,supervised_ce_focal,3.70722294,3.51527071,3.70722294,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722294,3.50460601,3.70722294,6.39986992,0.00000000,0.00000000,,,,,,cuda,,ok
2,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722294,3.49406099,3.70722294,12.79435253,0.00000000,0.00000000,,,,,,cuda,,ok
3,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722294,3.48363948,3.70722294,19.17882347,0.00000000,0.00000000,,,,,,cuda,,ok
4,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722294,3.47334385,3.70722294,25.54682732,0.00000000,0.00000000,,,,,,cuda,,ok
5,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722294,3.46317863,3.70722294,31.89013672,0.00000000,0.00000000,,,,,,cuda,,ok
6,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722294,3.45314503,3.70722294,38.20065308,0.00000000,0.00000000,,,,,,cuda,,ok
7,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722294,3.44324565,3.70722294,44.47295761,0.00000000,0.00000000,,,,,,cuda,,ok
8,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722294,3.43348193,3.70722294,50.70424271,0.00000000,0.00000000,,,,,,cuda,,ok
9,1,char_xxlarge_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.70722294,3.42385697,3.70722294,56.89270020,0.00000000,0.00000000,,,,,,cuda,,ok
