step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,char_xxlarge_hep_temporal_clipped_objective_gate,initial,supervised_ce,3.70722294,3.70722294,3.70722294,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.69776630,3.70722294,6.39981651,0.00000000,0.00000000,,,,,,cuda,,ok
2,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.68843365,3.70722294,12.75567818,0.00000000,0.00000000,,,,,,cuda,,ok
3,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.67922544,3.70722294,19.01659775,0.00000000,0.00000000,,,,,,cuda,,ok
4,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.67014146,3.70722294,25.19235229,0.00000000,0.00000000,,,,,,cuda,,ok
5,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.66118360,3.70722294,31.31773186,0.00000000,0.00000000,,,,,,cuda,,ok
6,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.65235567,3.70722294,37.44978333,0.00000000,0.00000000,,,,,,cuda,,ok
7,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.64365768,3.70722294,43.56660843,0.00000000,0.00000000,,,,,,cuda,,ok
8,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.63509345,3.70722294,49.72603607,0.00000000,0.00000000,,,,,,cuda,,ok
9,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.62666368,3.70722294,55.91965103,0.00000000,0.00000000,,,,,,cuda,,ok
10,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.61837029,3.70722294,62.09795380,0.00000000,0.00000000,,,,,,cuda,,ok
11,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.61021471,3.70722294,68.24068451,0.00000000,0.00000000,,,,,,cuda,,ok
12,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.60220003,3.70722294,74.34538269,0.00000000,0.00000000,,,,,,cuda,,ok
13,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.59432673,3.70722294,80.40950012,0.00000000,0.00000000,,,,,,cuda,,ok
14,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.58659649,3.70722294,86.43033600,0.00000000,0.00000000,,,,,,cuda,,ok
15,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.57901049,3.70722294,92.40521240,0.00000000,0.00000000,,,,,,cuda,,ok
16,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.57156968,3.70722294,98.35459900,0.00000000,0.00000000,,,,,,cuda,,ok
17,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.56427503,3.70722294,104.31036377,0.00000000,0.00000000,,,,,,cuda,,ok
18,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.55712724,3.70722294,110.21550751,0.00000000,0.00000000,,,,,,cuda,,ok
19,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.55012679,3.70722294,116.06770325,0.00000000,0.00000000,,,,,,cuda,,ok
20,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.54327488,3.70722294,121.86495972,0.00000000,0.00000000,,,,,,cuda,,ok
21,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.53657126,3.70722294,127.63251495,0.00000000,0.00000000,,,,,,cuda,,ok
22,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.53001547,3.70722294,133.39208984,0.00000000,0.00000000,,,,,,cuda,,ok
23,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.52360940,3.70722294,139.09379578,0.00000000,0.00000000,,,,,,cuda,,ok
24,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.51735067,3.70722294,144.73640442,0.00000000,0.00000000,,,,,,cuda,,ok
25,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.51123977,3.70722294,150.31878662,0.00000000,0.00000000,,,,,,cuda,,ok
26,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.50527620,3.70722294,155.83995056,0.00000000,0.00000000,,,,,,cuda,,ok
27,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.49945927,3.70722294,161.29902649,0.00000000,0.00000000,,,,,,cuda,,ok
28,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.49378824,3.70722294,166.69506836,0.00000000,0.00000000,,,,,,cuda,,ok
29,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.48826146,3.70722294,172.02716064,0.00000000,0.00000000,,,,,,cuda,,ok
30,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.48287797,3.70722294,177.29434204,0.00000000,0.00000000,,,,,,cuda,,ok
31,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.47763610,3.70722294,182.49563599,0.00000000,0.00000000,,,,,,cuda,,ok
32,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.47253394,3.70722294,187.68809509,0.00000000,0.00000000,,,,,,cuda,,ok
33,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.46757078,3.70722294,192.91914368,0.00000000,0.00000000,,,,,,cuda,,ok
34,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.46274304,3.70722294,198.10583496,0.00000000,0.00000000,,,,,,cuda,,ok
35,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.45804977,3.70722294,203.22586060,0.00000000,0.00000000,,,,,,cuda,,ok
36,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.45348763,3.70722294,208.27803040,0.00000000,0.00000000,,,,,,cuda,,ok
37,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.44905543,3.70722294,213.26126099,0.00000000,0.00000000,,,,,,cuda,,ok
38,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.44475007,3.70722294,218.20974731,0.00000000,0.00000000,,,,,,cuda,,ok
39,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.44056869,3.70722294,223.12341309,0.00000000,0.00000000,,,,,,cuda,,ok
40,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.43650913,3.70722294,228.02284241,0.00000000,0.00000000,,,,,,cuda,,ok
41,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.43256807,3.70722294,232.87002563,0.00000000,0.00000000,,,,,,cuda,,ok
42,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.42874312,3.70722294,237.64199829,0.00000000,0.00000000,,,,,,cuda,,ok
43,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.42503119,3.70722294,242.33773804,0.00000000,0.00000000,,,,,,cuda,,ok
44,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.42142916,3.70722294,246.95645142,0.00000000,0.00000000,,,,,,cuda,,ok
45,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.41793418,3.70722294,251.49734497,0.00000000,0.00000000,,,,,,cuda,,ok
46,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.41454268,3.70722294,255.95999146,0.00000000,0.00000000,,,,,,cuda,,ok
47,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.41125298,3.70722294,260.34402466,0.00000000,0.00000000,,,,,,cuda,,ok
48,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.40806055,3.70722294,264.64923096,0.00000000,0.00000000,,,,,,cuda,,ok
49,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.40496325,3.70722294,268.87564087,0.00000000,0.00000000,,,,,,cuda,,ok
50,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.40195799,3.70722294,273.02337646,0.00000000,0.00000000,,,,,,cuda,,ok
51,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.39904118,3.70722294,277.09280396,0.00000000,0.00000000,,,,,,cuda,,ok
52,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.39621139,3.70722294,281.08441162,0.00000000,0.00000000,,,,,,cuda,,ok
53,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.39346480,3.70722294,284.99880981,0.00000000,0.00000000,,,,,,cuda,,ok
54,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.39079881,3.70722294,288.83676147,0.00000000,0.00000000,,,,,,cuda,,ok
55,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.38821101,3.70722294,292.59924316,0.00000000,0.00000000,,,,,,cuda,,ok
56,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.38569903,3.70722294,296.35702515,0.00000000,0.00000000,,,,,,cuda,,ok
57,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.38326025,3.70722294,300.04489136,0.00000000,0.00000000,,,,,,cuda,,ok
58,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.38089204,3.70722294,303.66131592,0.00000000,0.00000000,,,,,,cuda,,ok
59,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.37859201,3.70722294,307.20736694,0.00000000,0.00000000,,,,,,cuda,,ok
60,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.37635899,3.70722294,310.68432617,0.00000000,0.00000000,,,,,,cuda,,ok
61,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.37418985,3.70722294,314.09344482,0.00000000,0.00000000,,,,,,cuda,,ok
62,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.37208343,3.70722294,317.43609619,0.00000000,0.00000000,,,,,,cuda,,ok
63,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.37003660,3.70722294,320.71371460,0.00000000,0.00000000,,,,,,cuda,,ok
64,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.36804843,3.70722294,323.92755127,0.00000000,0.00000000,,,,,,cuda,,ok
65,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.36611676,3.70722294,327.07916260,0.00000000,0.00000000,,,,,,cuda,,ok
66,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.36423969,3.70722294,330.16989136,0.00000000,0.00000000,,,,,,cuda,,ok
67,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.36241627,3.70722294,333.22302246,0.00000000,0.00000000,,,,,,cuda,,ok
68,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.36064386,3.70722294,336.28308105,0.00000000,0.00000000,,,,,,cuda,,ok
69,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.35892177,3.70722294,339.28616333,0.00000000,0.00000000,,,,,,cuda,,ok
70,1,char_xxlarge_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.70722294,3.35724783,3.70722294,342.23358154,0.00000000,0.00000000,,,,,,cuda,,ok
70,1,char_xxlarge_hep_temporal_clipped_objective_gate,hep_sweep,supervised_ce,3.70722294,3.35724783,3.70722294,342.23358154,0.00000000,0.00000000,0.00000000,3.35724783,0.00000000,0.00000000,0.00000000,cuda,,ok
70,1,char_xxlarge_hep_temporal_clipped_objective_gate,hep_sweep,supervised_ce,3.70722294,3.35724783,3.70722294,342.23358154,0.00000000,0.00000000,0.25000000,3.35724044,0.00011182,0.00000000,0.00000000,cuda,,ok
70,1,char_xxlarge_hep_temporal_clipped_objective_gate,hep_sweep,supervised_ce,3.70722294,3.35724783,3.70722294,342.23358154,0.00000000,0.00000000,0.50000000,3.35723233,0.00022483,0.00000000,0.00000000,cuda,,ok
70,1,char_xxlarge_hep_temporal_clipped_objective_gate,hep_sweep,supervised_ce,3.70722294,3.35724783,3.70722294,342.23358154,0.00000000,0.00000000,1.00000000,3.35721779,0.00044894,0.00000000,0.00000000,cuda,,ok
