step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,2,char_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate_seed2,initial,supervised_ce,3.65864587,3.65864587,3.65864587,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,2,char_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.64094114,3.65864587,88.48834588,0.00000000,0.00000000,,,,,,cuda,,ok
2,2,char_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.62413383,3.65864587,663.94303977,0.00000000,0.00000000,,,,,,cuda,,ok
3,2,char_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.59186029,3.65864587,903.31919873,0.00000000,0.00000000,,,,,,cuda,,ok
4,2,char_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.55833292,3.65864587,1162.41937017,0.00000000,0.00000000,,,,,,cuda,,ok
5,2,char_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.52379680,3.65864587,1428.77096367,0.00000000,0.00000000,,,,,,cuda,,ok
6,2,char_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.48910999,3.65864587,1682.72245574,0.00000000,0.00000000,,,,,,cuda,,ok
7,2,char_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.45299006,3.65864587,1927.35568595,0.00000000,0.00000000,,,,,,cuda,,ok
8,2,char_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.41648698,3.65864587,2160.44573498,0.00000000,0.00000000,,,,,,cuda,,ok
9,2,char_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.37824917,3.65864587,2382.72222233,0.00000000,0.00000000,,,,,,cuda,,ok
10,2,char_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.33834481,3.65864587,2587.77652287,0.00000000,0.00000000,,,,,,cuda,,ok
11,2,char_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.29803205,3.65864587,2788.22755432,0.00000000,0.00000000,,,,,,cuda,,ok
12,2,char_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.25817442,3.65864587,2979.15746975,0.00000000,0.00000000,,,,,,cuda,,ok
13,2,char_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.21976900,3.65864587,3163.39143515,0.00000000,0.00000000,,,,,,cuda,,ok
14,2,char_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.18146467,3.65864587,3342.61949062,0.00000000,0.00000000,,,,,,cuda,,ok
