step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,initial,supervised_ce,3.65864587,3.65864587,3.65864587,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.65031695,3.65864587,7.67974949,0.00000000,0.00000000,,,,,,cuda,,ok
2,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.64211178,3.65864587,15.35983505,0.00000000,0.00000000,,,,,,cuda,,ok
3,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.63430643,3.65864587,27.86841199,0.00000000,0.00000000,,,,,,cuda,,ok
4,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.63896394,3.65864587,40.12537181,0.00000000,0.00000000,,,,,,cuda,,ok
5,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.63043094,3.65864587,51.13195324,0.00000000,0.00000000,,,,,,cuda,,ok
6,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.61901903,3.65864587,63.47301960,0.00000000,0.00000000,,,,,,cuda,,ok
7,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.60934114,3.65864587,80.08009624,0.00000000,0.00000000,,,,,,cuda,,ok
8,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.59978318,3.65864587,99.01854324,0.00000000,0.00000000,,,,,,cuda,,ok
9,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.59200430,3.65864587,119.40282440,0.00000000,0.00000000,,,,,,cuda,,ok
10,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.58289790,3.65864587,140.94773102,0.00000000,0.00000000,,,,,,cuda,,ok
11,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.57510900,3.65864587,163.67523003,0.00000000,0.00000000,,,,,,cuda,,ok
12,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.56663561,3.65864587,187.54044724,0.00000000,0.00000000,,,,,,cuda,,ok
13,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.55743480,3.65864587,212.15898514,0.00000000,0.00000000,,,,,,cuda,,ok
14,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.54881573,3.65864587,237.73870850,0.00000000,0.00000000,,,,,,cuda,,ok
