step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,initial,supervised_ce,4.16363096,4.16363096,4.16363096,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.14673567,4.16363096,76.97984016,0.00000000,0.00000000,,,,,,cuda,,ok
2,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.13325739,4.16363096,637.89389443,0.00000000,0.00000000,,,,,,cuda,,ok
3,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.10783005,4.16363096,881.45541024,0.00000000,0.00000000,,,,,,cuda,,ok
4,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.07916737,4.16363096,1160.54014838,0.00000000,0.00000000,,,,,,cuda,,ok
5,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.05044746,4.16363096,1460.99666739,0.00000000,0.00000000,,,,,,cuda,,ok
6,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.02307749,4.16363096,1750.60691118,0.00000000,0.00000000,,,,,,cuda,,ok
7,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.99602222,4.16363096,2036.61075282,0.00000000,0.00000000,,,,,,cuda,,ok
8,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.96883512,4.16363096,2307.25823545,0.00000000,0.00000000,,,,,,cuda,,ok
9,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.94146085,4.16363096,2562.44594193,0.00000000,0.00000000,,,,,,cuda,,ok
10,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.91386366,4.16363096,2802.21570253,0.00000000,0.00000000,,,,,,cuda,,ok
11,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.88609767,4.16363096,3027.14206648,0.00000000,0.00000000,,,,,,cuda,,ok
12,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.85821271,4.16363096,3238.57962561,0.00000000,0.00000000,,,,,,cuda,,ok
13,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.83025289,4.16363096,3437.23292255,0.00000000,0.00000000,,,,,,cuda,,ok
14,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.80225277,4.16363096,3624.30605412,0.00000000,0.00000000,,,,,,cuda,,ok
15,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.77424002,4.16363096,3800.87727928,0.00000000,0.00000000,,,,,,cuda,,ok
16,1,token_larger_support_wide_contextual_router_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.74623847,4.16363096,3968.40673065,0.00000000,0.00000000,,,,,,cuda,,ok
