step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,char_extended_focal_hep_temporal_clipped_objective_gate,initial,supervised_ce_focal,3.72165346,3.53409672,3.72165346,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.52690077,3.72165346,2.55925655,0.00000000,0.00000000,,,,,,cuda,,ok
2,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.51978350,3.72165346,5.04886389,0.00000000,0.00000000,,,,,,cuda,,ok
3,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.51274824,3.72165346,7.57751083,0.00000000,0.00000000,,,,,,cuda,,ok
4,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.50579715,3.72165346,10.12148762,0.00000000,0.00000000,,,,,,cuda,,ok
5,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.49893165,3.72165346,12.65308285,0.00000000,0.00000000,,,,,,cuda,,ok
6,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.49215245,3.72165346,15.16850662,0.00000000,0.00000000,,,,,,cuda,,ok
7,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.48546171,3.72165346,17.66908646,0.00000000,0.00000000,,,,,,cuda,,ok
8,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.47886133,3.72165346,20.15757751,0.00000000,0.00000000,,,,,,cuda,,ok
9,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.47235084,3.72165346,22.63651085,0.00000000,0.00000000,,,,,,cuda,,ok
10,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.46593308,3.72165346,25.10796165,0.00000000,0.00000000,,,,,,cuda,,ok
11,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.45960784,3.72165346,27.57295609,0.00000000,0.00000000,,,,,,cuda,,ok
12,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.45337725,3.72165346,30.03084564,0.00000000,0.00000000,,,,,,cuda,,ok
13,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.44724059,3.72165346,32.47955704,0.00000000,0.00000000,,,,,,cuda,,ok
14,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.44119906,3.72165346,34.91608810,0.00000000,0.00000000,,,,,,cuda,,ok
15,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.43525267,3.72165346,37.33697510,0.00000000,0.00000000,,,,,,cuda,,ok
16,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.42940187,3.72165346,39.73868561,0.00000000,0.00000000,,,,,,cuda,,ok
17,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.42364621,3.72165346,42.11832809,0.00000000,0.00000000,,,,,,cuda,,ok
18,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.41798639,3.72165346,44.47416687,0.00000000,0.00000000,,,,,,cuda,,ok
19,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.41242099,3.72165346,46.80551910,0.00000000,0.00000000,,,,,,cuda,,ok
20,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.40695024,3.72165346,49.11225891,0.00000000,0.00000000,,,,,,cuda,,ok
21,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.40157318,3.72165346,51.39456177,0.00000000,0.00000000,,,,,,cuda,,ok
22,1,char_extended_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.72165346,3.39628911,3.72165346,53.65263748,0.00000000,0.00000000,,,,,,cuda,,ok
