step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,char_extended_hep_support_stress_temporal_clipped,initial,supervised_ce,3.72165346,3.72165346,3.72165346,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.71527934,3.72165346,2.55996966,0.00000000,0.00000000,,,,,,cuda,,ok
2,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.70898700,3.72165346,5.11710167,0.00000000,0.00000000,,,,,,cuda,,ok
3,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.70277739,3.72165346,7.66850805,0.00000000,0.00000000,,,,,,cuda,,ok
4,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.69665265,3.72165346,10.21017647,0.00000000,0.00000000,,,,,,cuda,,ok
5,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.69061351,3.72165346,12.73800659,0.00000000,0.00000000,,,,,,cuda,,ok
6,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.68466115,3.72165346,15.24977398,0.00000000,0.00000000,,,,,,cuda,,ok
7,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.67879701,3.72165346,17.74549675,0.00000000,0.00000000,,,,,,cuda,,ok
8,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.67302108,3.72165346,20.22607803,0.00000000,0.00000000,,,,,,cuda,,ok
9,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.66733623,3.72165346,22.69232750,0.00000000,0.00000000,,,,,,cuda,,ok
10,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.66174221,3.72165346,25.14472198,0.00000000,0.00000000,,,,,,cuda,,ok
11,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.65623975,3.72165346,27.58349228,0.00000000,0.00000000,,,,,,cuda,,ok
12,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.65083051,3.72165346,30.00874901,0.00000000,0.00000000,,,,,,cuda,,ok
13,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.64551306,3.72165346,32.42057800,0.00000000,0.00000000,,,,,,cuda,,ok
14,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.64028955,3.72165346,34.81900024,0.00000000,0.00000000,,,,,,cuda,,ok
15,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.63515925,3.72165346,37.20384216,0.00000000,0.00000000,,,,,,cuda,,ok
16,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.63012171,3.72165346,39.57456207,0.00000000,0.00000000,,,,,,cuda,,ok
17,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.62517691,3.72165346,41.93009949,0.00000000,0.00000000,,,,,,cuda,,ok
18,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.62032413,3.72165346,44.26894379,0.00000000,0.00000000,,,,,,cuda,,ok
19,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.61556244,3.72165346,46.58925629,0.00000000,0.00000000,,,,,,cuda,,ok
20,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.61089158,3.72165346,48.88911438,0.00000000,0.00000000,,,,,,cuda,,ok
21,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.60631037,3.72165346,51.16654205,0.00000000,0.00000000,,,,,,cuda,,ok
22,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.60181689,3.72165346,53.41967773,0.00000000,0.00000000,,,,,,cuda,,ok
23,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.59741139,3.72165346,55.64680862,0.00000000,0.00000000,,,,,,cuda,,ok
24,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.59309149,3.72165346,57.84635925,0.00000000,0.00000000,,,,,,cuda,,ok
25,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.58885622,3.72165346,60.01694107,0.00000000,0.00000000,,,,,,cuda,,ok
26,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.58470392,3.72165346,62.15736008,0.00000000,0.00000000,,,,,,cuda,,ok
27,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.58063316,3.72165346,64.26660919,0.00000000,0.00000000,,,,,,cuda,,ok
28,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.57664156,3.72165346,66.34392548,0.00000000,0.00000000,,,,,,cuda,,ok
29,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.57272887,3.72165346,68.38873291,0.00000000,0.00000000,,,,,,cuda,,ok
30,1,char_extended_hep_support_stress_temporal_clipped,residual_update,supervised_ce,3.72165346,3.56889176,3.72165346,70.40068054,0.00000000,0.00000000,,,,,,cuda,,ok
