step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,char_larger_capacity_hep_temporal_clipped_objective_gate,initial,supervised_ce,3.71594262,3.71594262,3.71594262,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.70675063,3.71594262,7.67983580,0.00000000,0.00000000,,,,,,cuda,,ok
2,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.69752169,3.71594262,15.35940194,0.00000000,0.00000000,,,,,,cuda,,ok
3,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.70860815,3.71594262,27.10754693,0.00000000,0.00000000,,,,,,cuda,,ok
4,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.69008255,3.71594262,40.50991178,0.00000000,0.00000000,,,,,,cuda,,ok
5,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.67952561,3.71594262,54.57089520,0.00000000,0.00000000,,,,,,cuda,,ok
6,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.67051649,3.71594262,71.09577370,0.00000000,0.00000000,,,,,,cuda,,ok
7,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.66023421,3.71594262,89.24919796,0.00000000,0.00000000,,,,,,cuda,,ok
8,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.64949632,3.71594262,108.98408413,0.00000000,0.00000000,,,,,,cuda,,ok
9,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.63884902,3.71594262,130.07603264,0.00000000,0.00000000,,,,,,cuda,,ok
10,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.62802815,3.71594262,152.28438568,0.00000000,0.00000000,,,,,,cuda,,ok
11,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.61603546,3.71594262,175.75597763,0.00000000,0.00000000,,,,,,cuda,,ok
12,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.60614491,3.71594262,200.32672882,0.00000000,0.00000000,,,,,,cuda,,ok
13,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.59379125,3.71594262,225.89834213,0.00000000,0.00000000,,,,,,cuda,,ok
14,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.58081937,3.71594262,252.36588669,0.00000000,0.00000000,,,,,,cuda,,ok
15,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.56802368,3.71594262,279.65018463,0.00000000,0.00000000,,,,,,cuda,,ok
16,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.55438995,3.71594262,307.39468384,0.00000000,0.00000000,,,,,,cuda,,ok
17,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.54078650,3.71594262,335.67571259,0.00000000,0.00000000,,,,,,cuda,,ok
18,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.52795863,3.71594262,364.70368576,0.00000000,0.00000000,,,,,,cuda,,ok
19,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.51483464,3.71594262,394.38748169,0.00000000,0.00000000,,,,,,cuda,,ok
20,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.50194430,3.71594262,424.74054718,0.00000000,0.00000000,,,,,,cuda,,ok
21,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.48909998,3.71594262,456.02242279,0.00000000,0.00000000,,,,,,cuda,,ok
22,1,char_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.47641277,3.71594262,487.98561096,0.00000000,0.00000000,,,,,,cuda,,ok
