step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,char_larger_hep_temporal_clipped_objective_gate,initial,supervised_ce,3.71594262,3.71594262,3.71594262,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.70675063,3.71594262,7.67983580,0.00000000,0.00000000,,,,,,cuda,,ok
2,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.69752169,3.71594262,15.35940194,0.00000000,0.00000000,,,,,,cuda,,ok
3,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.70860815,3.71594262,27.10754693,0.00000000,0.00000000,,,,,,cuda,,ok
4,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.69008255,3.71594262,40.50991178,0.00000000,0.00000000,,,,,,cuda,,ok
5,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.67952561,3.71594262,54.57089567,0.00000000,0.00000000,,,,,,cuda,,ok
6,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.67051649,3.71594262,71.09577370,0.00000000,0.00000000,,,,,,cuda,,ok
7,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.66023421,3.71594262,89.24919701,0.00000000,0.00000000,,,,,,cuda,,ok
8,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.64949632,3.71594262,108.98408318,0.00000000,0.00000000,,,,,,cuda,,ok
9,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.63884902,3.71594262,130.07603264,0.00000000,0.00000000,,,,,,cuda,,ok
10,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.62802815,3.71594262,152.28438568,0.00000000,0.00000000,,,,,,cuda,,ok
11,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.61603546,3.71594262,175.75597763,0.00000000,0.00000000,,,,,,cuda,,ok
12,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.60614491,3.71594262,200.32672882,0.00000000,0.00000000,,,,,,cuda,,ok
13,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.59379125,3.71594262,225.89834213,0.00000000,0.00000000,,,,,,cuda,,ok
