step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,token_larger_capacity_hep_temporal_clipped_objective_gate,initial,supervised_ce,4.16363096,4.16363096,4.16363096,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.16011572,4.16363096,7.67925358,0.00000000,0.00000000,,,,,,cuda,,ok
2,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.15819359,4.16363096,15.29056671,0.00000000,0.00000000,,,,,,cuda,,ok
3,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.15638447,4.16363096,27.85038733,0.00000000,0.00000000,,,,,,cuda,,ok
4,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.15234470,4.16363096,37.47074485,0.00000000,0.00000000,,,,,,cuda,,ok
5,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.14797020,4.16363096,51.19162798,0.00000000,0.00000000,,,,,,cuda,,ok
6,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.14228868,4.16363096,63.01041222,0.00000000,0.00000000,,,,,,cuda,,ok
7,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.13523054,4.16363096,78.44048500,0.00000000,0.00000000,,,,,,cuda,,ok
8,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.12738276,4.16363096,96.29738808,0.00000000,0.00000000,,,,,,cuda,,ok
9,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.11877728,4.16363096,116.79111481,0.00000000,0.00000000,,,,,,cuda,,ok
10,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.10951471,4.16363096,140.04194641,0.00000000,0.00000000,,,,,,cuda,,ok
11,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.09778643,4.16363096,165.21056175,0.00000000,0.00000000,,,,,,cuda,,ok
12,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.08619070,4.16363096,192.32135773,0.00000000,0.00000000,,,,,,cuda,,ok
13,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.07436800,4.16363096,221.14257050,0.00000000,0.00000000,,,,,,cuda,,ok
14,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.06145191,4.16363096,252.39991760,0.00000000,0.00000000,,,,,,cuda,,ok
15,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.04736328,4.16363096,285.11668777,0.00000000,0.00000000,,,,,,cuda,,ok
16,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.03407669,4.16363096,319.64568710,0.00000000,0.00000000,,,,,,cuda,,ok
17,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.01968813,4.16363096,355.51037216,0.00000000,0.00000000,,,,,,cuda,,ok
18,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.00611448,4.16363096,392.68408203,0.00000000,0.00000000,,,,,,cuda,,ok
19,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.99169421,4.16363096,431.26467896,0.00000000,0.00000000,,,,,,cuda,,ok
20,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.97678590,4.16363096,471.54185486,0.00000000,0.00000000,,,,,,cuda,,ok
21,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.96237421,4.16363096,513.30848694,0.00000000,0.00000000,,,,,,cuda,,ok
22,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.94794083,4.16363096,555.79450989,0.00000000,0.00000000,,,,,,cuda,,ok
23,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.93275833,4.16363096,599.19374847,0.00000000,0.00000000,,,,,,cuda,,ok
24,1,token_larger_capacity_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,3.91672659,4.16363096,643.47164154,0.00000000,0.00000000,,,,,,cuda,,ok
