step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,2,char_larger_hep_temporal_clipped_objective_gate_seed2,initial,supervised_ce,3.65864587,3.65864587,3.65864587,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.65031695,3.65864587,3.83993745,0.00000000,0.00000000,,,,,,cuda,,ok
2,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.64207077,3.65864587,7.67688656,0.00000000,0.00000000,,,,,,cuda,,ok
3,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.63390994,3.65864587,11.50810909,0.00000000,0.00000000,,,,,,cuda,,ok
4,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.62583566,3.65864587,15.32964420,0.00000000,0.00000000,,,,,,cuda,,ok
5,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.61785078,3.65864587,19.13627243,0.00000000,0.00000000,,,,,,cuda,,ok
6,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.60995674,3.65864587,22.92247772,0.00000000,0.00000000,,,,,,cuda,,ok
7,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.60215521,3.65864587,26.68418694,0.00000000,0.00000000,,,,,,cuda,,ok
8,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.59444737,3.65864587,30.41963577,0.00000000,0.00000000,,,,,,cuda,,ok
9,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.58683491,3.65864587,34.12893677,0.00000000,0.00000000,,,,,,cuda,,ok
10,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.57931900,3.65864587,37.81317520,0.00000000,0.00000000,,,,,,cuda,,ok
11,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.57190180,3.65864587,41.47357559,0.00000000,0.00000000,,,,,,cuda,,ok
12,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.56458402,3.65864587,45.11108398,0.00000000,0.00000000,,,,,,cuda,,ok
13,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.55736852,3.65864587,48.72621155,0.00000000,0.00000000,,,,,,cuda,,ok
14,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.55025554,3.65864587,52.31901169,0.00000000,0.00000000,,,,,,cuda,,ok
15,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.54324698,3.65864587,55.88922882,0.00000000,0.00000000,,,,,,cuda,,ok
16,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.53634453,3.65864587,59.46674347,0.00000000,0.00000000,,,,,,cuda,,ok
17,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.52954817,3.65864587,63.06353760,0.00000000,0.00000000,,,,,,cuda,,ok
18,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.52286053,3.65864587,66.63796997,0.00000000,0.00000000,,,,,,cuda,,ok
19,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.51628089,3.65864587,70.22737122,0.00000000,0.00000000,,,,,,cuda,,ok
20,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.50981116,3.65864587,73.83415985,0.00000000,0.00000000,,,,,,cuda,,ok
21,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.50345182,3.65864587,77.41731262,0.00000000,0.00000000,,,,,,cuda,,ok
22,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.49720335,3.65864587,80.97539520,0.00000000,0.00000000,,,,,,cuda,,ok
23,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.49106646,3.65864587,84.50703430,0.00000000,0.00000000,,,,,,cuda,,ok
24,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.48504114,3.65864587,88.01086426,0.00000000,0.00000000,,,,,,cuda,,ok
25,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.47912741,3.65864587,91.48564148,0.00000000,0.00000000,,,,,,cuda,,ok
26,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.47332621,3.65864587,94.93014526,0.00000000,0.00000000,,,,,,cuda,,ok
27,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.46763659,3.65864587,98.34320831,0.00000000,0.00000000,,,,,,cuda,,ok
28,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.46205854,3.65864587,101.72376251,0.00000000,0.00000000,,,,,,cuda,,ok
29,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.45659184,3.65864587,105.07074738,0.00000000,0.00000000,,,,,,cuda,,ok
30,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.45123625,3.65864587,108.38326263,0.00000000,0.00000000,,,,,,cuda,,ok
31,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.44599152,3.65864587,111.66043091,0.00000000,0.00000000,,,,,,cuda,,ok
32,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.44085622,3.65864587,114.90149689,0.00000000,0.00000000,,,,,,cuda,,ok
33,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.43582964,3.65864587,118.10578156,0.00000000,0.00000000,,,,,,cuda,,ok
34,2,char_larger_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864587,3.43091202,3.65864587,121.27271271,0.00000000,0.00000000,,,,,,cuda,,ok
