step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,initial,supervised_ce,4.23026133,4.23026133,4.23026133,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.22666216,4.23026133,7.67947578,0.00000000,0.00000000,,,,,,cuda,,ok
2,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.22317696,4.23026133,15.28369013,0.00000000,0.00000000,,,,,,cuda,,ok
3,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.22283983,4.23026133,28.11636996,0.00000000,0.00000000,,,,,,cuda,,ok
4,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.21656084,4.23026133,39.77842188,0.00000000,0.00000000,,,,,,cuda,,ok
5,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.21172285,4.23026133,52.58013630,0.00000000,0.00000000,,,,,,cuda,,ok
6,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.20342159,4.23026133,67.78612995,0.00000000,0.00000000,,,,,,cuda,,ok
7,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.19604063,4.23026133,85.60186577,0.00000000,0.00000000,,,,,,cuda,,ok
8,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.18885183,4.23026133,105.53028107,0.00000000,0.00000000,,,,,,cuda,,ok
9,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.17978001,4.23026133,127.50143623,0.00000000,0.00000000,,,,,,cuda,,ok
10,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.16831160,4.23026133,151.15390205,0.00000000,0.00000000,,,,,,cuda,,ok
11,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.15645742,4.23026133,176.96932220,0.00000000,0.00000000,,,,,,cuda,,ok
12,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.14555216,4.23026133,204.71549606,0.00000000,0.00000000,,,,,,cuda,,ok
13,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.13168669,4.23026133,234.58689117,0.00000000,0.00000000,,,,,,cuda,,ok
14,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.11971092,4.23026133,266.95208359,0.00000000,0.00000000,,,,,,cuda,,ok
15,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.10489273,4.23026133,300.47700500,0.00000000,0.00000000,,,,,,cuda,,ok
16,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.08903646,4.23026133,335.79967880,0.00000000,0.00000000,,,,,,cuda,,ok
17,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.07498646,4.23026133,372.42691803,0.00000000,0.00000000,,,,,,cuda,,ok
18,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.05940485,4.23026133,410.58055115,0.00000000,0.00000000,,,,,,cuda,,ok
19,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.04391432,4.23026133,449.83143616,0.00000000,0.00000000,,,,,,cuda,,ok
20,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.02746344,4.23026133,490.60274506,0.00000000,0.00000000,,,,,,cuda,,ok
21,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,4.01186514,4.23026133,532.53026581,0.00000000,0.00000000,,,,,,cuda,,ok
22,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.99803710,4.23026133,575.14259338,0.00000000,0.00000000,,,,,,cuda,,ok
23,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.98132777,4.23026133,618.14707184,0.00000000,0.00000000,,,,,,cuda,,ok
24,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.96521950,4.23026133,659.67458344,0.00000000,0.00000000,,,,,,cuda,,ok
25,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.94956946,4.23026133,699.80302429,0.00000000,0.00000000,,,,,,cuda,,ok
26,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.93495917,4.23026133,738.56744385,0.00000000,0.00000000,,,,,,cuda,,ok
27,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.92056584,4.23026133,776.23286438,0.00000000,0.00000000,,,,,,cuda,,ok
28,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.90422702,4.23026133,813.14789581,0.00000000,0.00000000,,,,,,cuda,,ok
29,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.88678622,4.23026133,849.68901825,0.00000000,0.00000000,,,,,,cuda,,ok
30,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.87103128,4.23026133,885.70635986,0.00000000,0.00000000,,,,,,cuda,,ok
31,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.85527849,4.23026133,921.26371765,0.00000000,0.00000000,,,,,,cuda,,ok
32,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.84020829,4.23026133,956.30728149,0.00000000,0.00000000,,,,,,cuda,,ok
33,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.82444715,4.23026133,990.71969604,0.00000000,0.00000000,,,,,,cuda,,ok
34,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.80824232,4.23026133,1024.55010986,0.00000000,0.00000000,,,,,,cuda,,ok
35,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.79267931,4.23026133,1057.80461121,0.00000000,0.00000000,,,,,,cuda,,ok
36,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.77765107,4.23026133,1090.43334961,0.00000000,0.00000000,,,,,,cuda,,ok
37,2,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,4.23026133,3.76257181,4.23026133,1122.47343445,0.00000000,0.00000000,,,,,,cuda,,ok
