step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,2,token_larger_focal_hep_temporal_clipped_objective_gate_seed2,initial,supervised_ce_focal,4.23026133,4.09823704,4.23026133,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,2,token_larger_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,4.23026133,4.09424734,4.23026133,3.83986211,0.00000000,0.00000000,,,,,,cuda,,ok
2,2,token_larger_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,4.23026133,4.09033918,4.23026133,7.64908600,0.00000000,0.00000000,,,,,,cuda,,ok
3,2,token_larger_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,4.23026133,4.08651209,4.23026133,11.40250683,0.00000000,0.00000000,,,,,,cuda,,ok
4,2,token_larger_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,4.23026133,4.08276749,4.23026133,15.10635853,0.00000000,0.00000000,,,,,,cuda,,ok
5,2,token_larger_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,4.23026133,4.07910776,4.23026133,18.77164650,0.00000000,0.00000000,,,,,,cuda,,ok
6,2,token_larger_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,4.23026133,4.07553577,4.23026133,22.46168518,0.00000000,0.00000000,,,,,,cuda,,ok
7,2,token_larger_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,4.23026133,4.07205296,4.23026133,26.12379646,0.00000000,0.00000000,,,,,,cuda,,ok
8,2,token_larger_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,4.23026133,4.06866455,4.23026133,29.75837708,0.00000000,0.00000000,,,,,,cuda,,ok
9,2,token_larger_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,4.23026133,4.06537056,4.23026133,33.36460876,0.00000000,0.00000000,,,,,,cuda,,ok
10,2,token_larger_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,4.23026133,4.06217337,4.23026133,36.97819519,0.00000000,0.00000000,,,,,,cuda,,ok
11,2,token_larger_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,4.23026133,4.05907488,4.23026133,40.55792236,0.00000000,0.00000000,,,,,,cuda,,ok
12,2,token_larger_focal_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce_focal,4.23026133,4.05607557,4.23026133,44.09114838,0.00000000,0.00000000,,,,,,cuda,,ok
