step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,token_larger_hep_support_stress_entropy_clipped,initial,supervised_ce,4.16363096,4.16363096,4.16363096,0.00000000,0.00000000,0.00000000,,,,,,cuda,,ok
1,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.16011572,4.16363096,3.83981299,0.00000000,0.00000000,,,,,,cuda,,ok
2,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.15665388,4.16363096,7.64426517,0.00000000,0.00000000,,,,,,cuda,,ok
3,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.15324783,4.16363096,11.38052082,0.00000000,0.00000000,,,,,,cuda,,ok
4,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.14989519,4.16363096,15.05891609,0.00000000,0.00000000,,,,,,cuda,,ok
5,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.14659929,4.16363096,18.68863678,0.00000000,0.00000000,,,,,,cuda,,ok
6,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.14335871,4.16363096,22.31742859,0.00000000,0.00000000,,,,,,cuda,,ok
7,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.14017725,4.16363096,25.99940109,0.00000000,0.00000000,,,,,,cuda,,ok
8,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.13705349,4.16363096,29.65345955,0.00000000,0.00000000,,,,,,cuda,,ok
9,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.13398886,4.16363096,33.27721024,0.00000000,0.00000000,,,,,,cuda,,ok
10,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.13098478,4.16363096,36.86837006,0.00000000,0.00000000,,,,,,cuda,,ok
11,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.12804270,4.16363096,40.48593521,0.00000000,0.00000000,,,,,,cuda,,ok
12,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.12516165,4.16363096,44.07110596,0.00000000,0.00000000,,,,,,cuda,,ok
13,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.12234259,4.16363096,47.61735535,0.00000000,0.00000000,,,,,,cuda,,ok
14,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.11958599,4.16363096,51.12242126,0.00000000,0.00000000,,,,,,cuda,,ok
15,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.11689138,4.16363096,54.58469391,0.00000000,0.00000000,,,,,,cuda,,ok
16,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.11425924,4.16363096,58.00302887,0.00000000,0.00000000,,,,,,cuda,,ok
17,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.11169052,4.16363096,61.37653351,0.00000000,0.00000000,,,,,,cuda,,ok
18,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.10918283,4.16363096,64.70452881,0.00000000,0.00000000,,,,,,cuda,,ok
19,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.10673809,4.16363096,67.98661804,0.00000000,0.00000000,,,,,,cuda,,ok
20,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.10435534,4.16363096,71.22277069,0.00000000,0.00000000,,,,,,cuda,,ok
21,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.10203457,4.16363096,74.41329956,0.00000000,0.00000000,,,,,,cuda,,ok
22,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.09977579,4.16363096,77.55870056,0.00000000,0.00000000,,,,,,cuda,,ok
23,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.09757948,4.16363096,80.65958405,0.00000000,0.00000000,,,,,,cuda,,ok
24,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.09544468,4.16363096,83.71652985,0.00000000,0.00000000,,,,,,cuda,,ok
25,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.09337091,4.16363096,86.72998810,0.00000000,0.00000000,,,,,,cuda,,ok
26,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.09135818,4.16363096,89.70029449,0.00000000,0.00000000,,,,,,cuda,,ok
27,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.08940506,4.16363096,92.62751770,0.00000000,0.00000000,,,,,,cuda,,ok
28,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.08751202,4.16363096,95.51143646,0.00000000,0.00000000,,,,,,cuda,,ok
29,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.08567762,4.16363096,98.35154724,0.00000000,0.00000000,,,,,,cuda,,ok
30,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.08390284,4.16363096,101.14707947,0.00000000,0.00000000,,,,,,cuda,,ok
31,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.08218622,4.16363096,103.89706421,0.00000000,0.00000000,,,,,,cuda,,ok
32,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.08052635,4.16363096,106.66210175,0.00000000,0.00000000,,,,,,cuda,,ok
33,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.07892227,4.16363096,109.39345551,0.00000000,0.00000000,,,,,,cuda,,ok
34,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.07737398,4.16363096,112.07588196,0.00000000,0.00000000,,,,,,cuda,,ok
35,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.07587957,4.16363096,114.70786285,0.00000000,0.00000000,,,,,,cuda,,ok
36,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.07444048,4.16363096,117.29920959,0.00000000,0.00000000,,,,,,cuda,,ok
37,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.07305241,4.16363096,119.90268707,0.00000000,0.00000000,,,,,,cuda,,ok
38,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.07171631,4.16363096,122.52341461,0.00000000,0.00000000,,,,,,cuda,,ok
39,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.07043076,4.16363096,125.10292053,0.00000000,0.00000000,,,,,,cuda,,ok
40,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.06919336,4.16363096,127.62864685,0.00000000,0.00000000,,,,,,cuda,,ok
41,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.06800413,4.16363096,130.10012817,0.00000000,0.00000000,,,,,,cuda,,ok
42,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.06686258,4.16363096,132.55432129,0.00000000,0.00000000,,,,,,cuda,,ok
43,1,token_larger_hep_support_stress_entropy_clipped,residual_update,supervised_ce,4.16363096,4.06576538,4.16363096,135.01567078,0.00000000,0.00000000,,,,,,cuda,,ok
