step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,char_larger_focal_hep_temporal_clipped_objective_gate,initial,supervised_ce_focal,3.71594262,3.52391744,3.71594262,0.00000000,0.00000000,0.00000000,,,,,,cpu,,ok
1,1,char_larger_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.71594262,3.51356316,3.71594262,3.83996153,0.00000000,0.00000000,,,,,,cpu,,ok
2,1,char_larger_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.71594262,3.50330234,3.71594262,7.67706680,0.00000000,0.00000000,,,,,,cpu,,ok
3,1,char_larger_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.71594262,3.49313760,3.71594262,11.50910187,0.00000000,0.00000000,,,,,,cpu,,ok
4,1,char_larger_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.71594262,3.48307085,3.71594262,15.33324337,0.00000000,0.00000000,,,,,,cpu,,ok
5,1,char_larger_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.71594262,3.47310519,3.71594262,19.14595604,0.00000000,0.00000000,,,,,,cpu,,ok
6,1,char_larger_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.71594262,3.46324134,3.71594262,22.94314194,0.00000000,0.00000000,,,,,,cpu,,ok
7,1,char_larger_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.71594262,3.45348287,3.71594262,26.72071838,0.00000000,0.00000000,,,,,,cpu,,ok
8,1,char_larger_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.71594262,3.44382930,3.71594262,30.47525978,0.00000000,0.00000000,,,,,,cpu,,ok
9,1,char_larger_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.71594262,3.43428421,3.71594262,34.20417786,0.00000000,0.00000000,,,,,,cpu,,ok
10,1,char_larger_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.71594262,3.42484760,3.71594262,37.90529633,0.00000000,0.00000000,,,,,,cpu,,ok
11,1,char_larger_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.71594262,3.41552305,3.71594262,41.57640457,0.00000000,0.00000000,,,,,,cpu,,ok
12,1,char_larger_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.71594262,3.40631056,3.71594262,45.21518707,0.00000000,0.00000000,,,,,,cpu,,ok
13,1,char_larger_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.71594262,3.39721251,3.71594262,48.81943512,0.00000000,0.00000000,,,,,,cpu,,ok
14,1,char_larger_focal_hep_temporal_clipped_objective_gate,residual_update,supervised_ce_focal,3.71594262,3.38823009,3.71594262,52.38730621,0.00000000,0.00000000,,,,,,cpu,,ok
