step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,char_larger_hep_temporal_clipped_objective_gate,initial,supervised_ce,3.71594262,3.71594262,3.71594262,0.00000000,0.00000000,0.00000000,,,,,,cpu,,ok
1,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.70675063,3.71594262,3.83995867,0.00000000,0.00000000,,,,,,cpu,,ok
2,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.69765735,3.71594262,7.67699718,0.00000000,0.00000000,,,,,,cpu,,ok
3,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.68866491,3.71594262,11.50898361,0.00000000,0.00000000,,,,,,cpu,,ok
4,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.67977619,3.71594262,15.33333588,0.00000000,0.00000000,,,,,,cpu,,ok
5,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.67099237,3.71594262,19.14693069,0.00000000,0.00000000,,,,,,cpu,,ok
6,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.66231704,3.71594262,22.94604874,0.00000000,0.00000000,,,,,,cpu,,ok
7,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.65375042,3.71594262,26.72649956,0.00000000,0.00000000,,,,,,cpu,,ok
8,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.64529538,3.71594262,30.48389053,0.00000000,0.00000000,,,,,,cpu,,ok
9,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.63695240,3.71594262,34.21407318,0.00000000,0.00000000,,,,,,cpu,,ok
10,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.62872314,3.71594262,37.91360092,0.00000000,0.00000000,,,,,,cpu,,ok
11,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.62060905,3.71594262,41.57992554,0.00000000,0.00000000,,,,,,cpu,,ok
12,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.61261106,3.71594262,45.21143723,0.00000000,0.00000000,,,,,,cpu,,ok
13,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.60473037,3.71594262,48.80714798,0.00000000,0.00000000,,,,,,cpu,,ok
14,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.59696746,3.71594262,52.36642075,0.00000000,0.00000000,,,,,,cpu,,ok
15,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.58932471,3.71594262,55.88872147,0.00000000,0.00000000,,,,,,cpu,,ok
16,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.58180189,3.71594262,59.37356949,0.00000000,0.00000000,,,,,,cpu,,ok
17,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.57439995,3.71594262,62.82051468,0.00000000,0.00000000,,,,,,cpu,,ok
18,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.56712031,3.71594262,66.22920227,0.00000000,0.00000000,,,,,,cpu,,ok
