step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,char_larger_hep_temporal_clipped_objective_gate,initial,supervised_ce,3.71594262,3.71594262,3.71594262,0.00000000,0.00000000,0.00000000,,,,,,cpu,,ok
1,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.70675063,3.71594262,7.67983532,0.00000000,0.00000000,,,,,,cpu,,ok
2,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.69713402,3.71594262,15.35971757,0.00000000,0.00000000,,,,,,cpu,,ok
3,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.70443416,3.71594262,29.50952554,0.00000000,0.00000000,,,,,,cpu,,ok
4,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.68868256,3.71594262,37.53797960,0.00000000,0.00000000,,,,,,cpu,,ok
5,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.68016696,3.71594262,50.00926781,0.00000000,0.00000000,,,,,,cpu,,ok
6,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.67186594,3.71594262,65.52334213,0.00000000,0.00000000,,,,,,cpu,,ok
7,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.66258359,3.71594262,82.80261421,0.00000000,0.00000000,,,,,,cpu,,ok
8,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.65177464,3.71594262,101.01794815,0.00000000,0.00000000,,,,,,cpu,,ok
9,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.63895035,3.71594262,120.80774879,0.00000000,0.00000000,,,,,,cpu,,ok
10,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.62801361,3.71594262,141.52189827,0.00000000,0.00000000,,,,,,cpu,,ok
11,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.61676168,3.71594262,163.88820457,0.00000000,0.00000000,,,,,,cpu,,ok
12,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.60596204,3.71594262,187.98157501,0.00000000,0.00000000,,,,,,cpu,,ok
13,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.59450293,3.71594262,213.43815613,0.00000000,0.00000000,,,,,,cpu,,ok
14,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.58298039,3.71594262,240.52839279,0.00000000,0.00000000,,,,,,cpu,,ok
15,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.57059097,3.71594262,269.07276535,0.00000000,0.00000000,,,,,,cpu,,ok
16,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.55870628,3.71594262,298.95685196,0.00000000,0.00000000,,,,,,cpu,,ok
17,1,char_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,3.71594262,3.54716396,3.71594262,329.71933746,0.00000000,0.00000000,,,,,,cpu,,ok
