step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,token_larger_hep_temporal_clipped_objective_gate,initial,supervised_ce,4.16363096,4.16363096,4.16363096,0.00000000,0.00000000,0.00000000,,,,,,cpu,,ok
1,1,token_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.16011572,4.16363096,7.67925358,0.00000000,0.00000000,,,,,,cpu,,ok
2,1,token_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.15841341,4.16363096,15.29015362,0.00000000,0.00000000,,,,,,cpu,,ok
3,1,token_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.15602541,4.16363096,27.83713305,0.00000000,0.00000000,,,,,,cpu,,ok
4,1,token_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.15162706,4.16363096,40.47002220,0.00000000,0.00000000,,,,,,cpu,,ok
5,1,token_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.14621639,4.16363096,53.89389467,0.00000000,0.00000000,,,,,,cpu,,ok
6,1,token_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.14012861,4.16363096,69.49870968,0.00000000,0.00000000,,,,,,cpu,,ok
7,1,token_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.13233709,4.16363096,87.06641006,0.00000000,0.00000000,,,,,,cpu,,ok
8,1,token_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.12451792,4.16363096,106.87930107,0.00000000,0.00000000,,,,,,cpu,,ok
9,1,token_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.11552954,4.16363096,128.91411209,0.00000000,0.00000000,,,,,,cpu,,ok
10,1,token_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.10604858,4.16363096,152.93108177,0.00000000,0.00000000,,,,,,cpu,,ok
11,1,token_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.09462023,4.16363096,179.08959961,0.00000000,0.00000000,,,,,,cpu,,ok
12,1,token_larger_hep_temporal_clipped_objective_gate,residual_update,supervised_ce,4.16363096,4.08200359,4.16363096,206.95752335,0.00000000,0.00000000,,,,,,cpu,,ok
