step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,initial,supervised_ce,3.65864539,3.65864539,3.65864539,0.00000000,0.00000000,0.00000000,,,,,,cpu,,ok
1,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.65031695,3.65864539,7.67974949,0.00000000,0.00000000,,,,,,cpu,,ok
2,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.64201999,3.65864539,15.35957652,0.00000000,0.00000000,,,,,,cpu,,ok
3,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.64184046,3.65864539,29.06161809,0.00000000,0.00000000,,,,,,cpu,,ok
4,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.62958074,3.65864539,38.37430429,0.00000000,0.00000000,,,,,,cpu,,ok
5,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.62194467,3.65864539,51.65548229,0.00000000,0.00000000,,,,,,cpu,,ok
6,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.61233211,3.65864539,67.99432945,0.00000000,0.00000000,,,,,,cpu,,ok
7,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.60304356,3.65864539,86.16797447,0.00000000,0.00000000,,,,,,cpu,,ok
8,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.59462667,3.65864539,105.97655487,0.00000000,0.00000000,,,,,,cpu,,ok
9,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.58535862,3.65864539,127.08026123,0.00000000,0.00000000,,,,,,cpu,,ok
10,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.57827020,3.65864539,149.79296684,0.00000000,0.00000000,,,,,,cpu,,ok
11,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.56627393,3.65864539,173.73601532,0.00000000,0.00000000,,,,,,cpu,,ok
12,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.55303574,3.65864539,198.99374771,0.00000000,0.00000000,,,,,,cpu,,ok
13,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.54055738,3.65864539,225.56796265,0.00000000,0.00000000,,,,,,cpu,,ok
14,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.52842307,3.65864539,253.43652344,0.00000000,0.00000000,,,,,,cpu,,ok
15,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.51568794,3.65864539,282.22291565,0.00000000,0.00000000,,,,,,cpu,,ok
16,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.50367260,3.65864539,312.09177780,0.00000000,0.00000000,,,,,,cpu,,ok
17,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.49176002,3.65864539,343.01895523,0.00000000,0.00000000,,,,,,cpu,,ok
18,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.48038435,3.65864539,375.02196121,0.00000000,0.00000000,,,,,,cpu,,ok
19,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.46813059,3.65864539,407.98609924,0.00000000,0.00000000,,,,,,cpu,,ok
20,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.45637465,3.65864539,441.72689056,0.00000000,0.00000000,,,,,,cpu,,ok
21,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.44423699,3.65864539,476.19131470,0.00000000,0.00000000,,,,,,cpu,,ok
22,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.43246388,3.65864539,511.32545471,0.00000000,0.00000000,,,,,,cpu,,ok
23,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.42077041,3.65864539,547.02348328,0.00000000,0.00000000,,,,,,cpu,,ok
24,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.41063547,3.65864539,583.37860870,0.00000000,0.00000000,,,,,,cpu,,ok
25,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.39798284,3.65864539,617.66631317,0.00000000,0.00000000,,,,,,cpu,,ok
26,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.38623619,3.65864539,650.45571899,0.00000000,0.00000000,,,,,,cpu,,ok
27,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.37428474,3.65864539,681.49510193,0.00000000,0.00000000,,,,,,cpu,,ok
28,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.36551857,3.65864539,711.11245728,0.00000000,0.00000000,,,,,,cpu,,ok
29,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.35304451,3.65864539,739.13977814,0.00000000,0.00000000,,,,,,cpu,,ok
30,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.34077644,3.65864539,766.14812469,0.00000000,0.00000000,,,,,,cpu,,ok
31,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.32918525,3.65864539,792.19442749,0.00000000,0.00000000,,,,,,cpu,,ok
32,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.31794691,3.65864539,817.59581757,0.00000000,0.00000000,,,,,,cpu,,ok
33,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.30696845,3.65864539,842.36158752,0.00000000,0.00000000,,,,,,cpu,,ok
34,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.29615998,3.65864539,866.50375366,0.00000000,0.00000000,,,,,,cpu,,ok
35,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.28539348,3.65864539,890.12098694,0.00000000,0.00000000,,,,,,cpu,,ok
36,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.27478862,3.65864539,913.02001953,0.00000000,0.00000000,,,,,,cpu,,ok
37,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.26444745,3.65864539,935.17803955,0.00000000,0.00000000,,,,,,cpu,,ok
38,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.25460958,3.65864539,956.62185669,0.00000000,0.00000000,,,,,,cpu,,ok
39,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.24507856,3.65864539,977.36793518,0.00000000,0.00000000,,,,,,cpu,,ok
40,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.23540759,3.65864539,997.44869995,0.00000000,0.00000000,,,,,,cpu,,ok
41,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.22582674,3.65864539,1016.88581848,0.00000000,0.00000000,,,,,,cpu,,ok
42,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.21621847,3.65864539,1035.71838379,0.00000000,0.00000000,,,,,,cpu,,ok
43,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.20707822,3.65864539,1054.02619934,0.00000000,0.00000000,,,,,,cpu,,ok
44,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.19816136,3.65864539,1071.78553772,0.00000000,0.00000000,,,,,,cpu,,ok
45,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.18920279,3.65864539,1089.02653503,0.00000000,0.00000000,,,,,,cpu,,ok
46,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.18021059,3.65864539,1105.82846069,0.00000000,0.00000000,,,,,,cpu,,ok
47,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.17138600,3.65864539,1122.16404724,0.00000000,0.00000000,,,,,,cpu,,ok
48,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.16279292,3.65864539,1138.07853699,0.00000000,0.00000000,,,,,,cpu,,ok
49,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.15402651,3.65864539,1153.57858276,0.00000000,0.00000000,,,,,,cpu,,ok
50,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,residual_update,supervised_ce,3.65864539,3.14497447,3.65864539,1168.69793701,0.00000000,0.00000000,,,,,,cpu,,ok
50,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,hep_sweep,supervised_ce,3.65864539,3.14497447,3.65864539,1168.69793701,0.00000000,0.00000000,0.00000000,3.14497447,0.00000000,0.44531250,0.00000000,cpu,,ok
50,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,hep_sweep,supervised_ce,3.65864539,3.14497447,3.65864539,1168.69793701,0.00000000,0.00000000,0.25000000,3.14497447,0.00011584,0.44531250,0.00067425,cpu,,ok
50,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,hep_sweep,supervised_ce,3.65864539,3.14497447,3.65864539,1168.69793701,0.00000000,0.00000000,0.50000000,3.14497399,0.00023204,0.44531250,0.00135016,cpu,,ok
50,2,char_larger_support_wide_hep_temporal_clipped_objective_gate_seed2,hep_sweep,supervised_ce,3.65864539,3.14497447,3.65864539,1168.69793701,0.00000000,0.00000000,1.00000000,3.14497328,0.00046399,0.44726562,0.00270697,cpu,,ok
