step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,3,char_larger_hep_temporal_clipped_objective_gate_seed3,initial,supervised_ce,3.77074385,3.77074385,3.77074385,0.00000000,0.00000000,0.00000000,,,,,,cpu,,ok
1,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.76278186,3.77074385,3.83994126,0.00000000,0.00000000,,,,,,cpu,,ok
2,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.75492263,3.77074385,7.67687559,0.00000000,0.00000000,,,,,,cpu,,ok
3,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.74716830,3.77074385,11.50874233,0.00000000,0.00000000,,,,,,cpu,,ok
4,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.73952317,3.77074385,15.33322239,0.00000000,0.00000000,,,,,,cpu,,ok
5,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.73198986,3.77074385,19.14772606,0.00000000,0.00000000,,,,,,cpu,,ok
6,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.72457075,3.77074385,22.94938660,0.00000000,0.00000000,,,,,,cpu,,ok
7,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.71726847,3.77074385,26.73509407,0.00000000,0.00000000,,,,,,cpu,,ok
8,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.71008563,3.77074385,30.50152016,0.00000000,0.00000000,,,,,,cpu,,ok
9,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.70302463,3.77074385,34.24517441,0.00000000,0.00000000,,,,,,cpu,,ok
10,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.69608617,3.77074385,37.96243668,0.00000000,0.00000000,,,,,,cpu,,ok
11,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.68927312,3.77074385,41.64958954,0.00000000,0.00000000,,,,,,cpu,,ok
12,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.68258643,3.77074385,45.30287933,0.00000000,0.00000000,,,,,,cpu,,ok
13,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.67602658,3.77074385,48.91853333,0.00000000,0.00000000,,,,,,cpu,,ok
14,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.66959381,3.77074385,52.49287033,0.00000000,0.00000000,,,,,,cpu,,ok
15,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.66328883,3.77074385,56.02231598,0.00000000,0.00000000,,,,,,cpu,,ok
16,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.65711093,3.77074385,59.50353241,0.00000000,0.00000000,,,,,,cpu,,ok
17,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.65105844,3.77074385,62.93339539,0.00000000,0.00000000,,,,,,cpu,,ok
18,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.64513230,3.77074385,66.30906677,0.00000000,0.00000000,,,,,,cpu,,ok
19,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.63932991,3.77074385,69.62802124,0.00000000,0.00000000,,,,,,cpu,,ok
20,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.63364935,3.77074385,72.88795471,0.00000000,0.00000000,,,,,,cpu,,ok
21,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.62808943,3.77074385,76.08689117,0.00000000,0.00000000,,,,,,cpu,,ok
22,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.62264729,3.77074385,79.22311401,0.00000000,0.00000000,,,,,,cpu,,ok
23,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.61732030,3.77074385,82.29521942,0.00000000,0.00000000,,,,,,cpu,,ok
24,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.61210752,3.77074385,85.30210876,0.00000000,0.00000000,,,,,,cpu,,ok
25,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.60700464,3.77074385,88.24293518,0.00000000,0.00000000,,,,,,cpu,,ok
26,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.60201073,3.77074385,91.11709595,0.00000000,0.00000000,,,,,,cpu,,ok
27,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.59712100,3.77074385,93.92421722,0.00000000,0.00000000,,,,,,cpu,,ok
28,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.59233451,3.77074385,96.66414642,0.00000000,0.00000000,,,,,,cpu,,ok
29,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.58764768,3.77074385,99.33697510,0.00000000,0.00000000,,,,,,cpu,,ok
30,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.58305788,3.77074385,101.94292450,0.00000000,0.00000000,,,,,,cpu,,ok
31,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.57856250,3.77074385,104.48247528,0.00000000,0.00000000,,,,,,cpu,,ok
32,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.57415891,3.77074385,106.95626831,0.00000000,0.00000000,,,,,,cpu,,ok
33,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.56984401,3.77074385,109.39466095,0.00000000,0.00000000,,,,,,cpu,,ok
34,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.56561565,3.77074385,111.83054352,0.00000000,0.00000000,,,,,,cpu,,ok
35,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.56147122,3.77074385,114.21501923,0.00000000,0.00000000,,,,,,cpu,,ok
36,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.55740905,3.77074385,116.65202332,0.00000000,0.00000000,,,,,,cpu,,ok
37,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.55342674,3.77074385,119.10092163,0.00000000,0.00000000,,,,,,cpu,,ok
38,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.54952145,3.77074385,121.49483490,0.00000000,0.00000000,,,,,,cpu,,ok
39,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.54569125,3.77074385,123.83473969,0.00000000,0.00000000,,,,,,cpu,,ok
40,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.54193497,3.77074385,126.12163544,0.00000000,0.00000000,,,,,,cpu,,ok
41,3,char_larger_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,3.77074385,3.53824949,3.77074385,128.42315674,0.00000000,0.00000000,,,,,,cpu,,ok
