step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,initial,supervised_ce,4.27324104,4.27324104,4.27324104,0.00000000,0.00000000,0.00000000,,,,,,cpu,,ok
1,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.26913834,4.27324104,7.67968082,0.00000000,0.00000000,,,,,,cpu,,ok
2,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.26652861,4.27324104,15.35494333,0.00000000,0.00000000,,,,,,cpu,,ok
3,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.26341391,4.27324104,28.34221292,0.00000000,0.00000000,,,,,,cpu,,ok
4,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.25920153,4.27324104,41.38703823,0.00000000,0.00000000,,,,,,cpu,,ok
5,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.25384808,4.27324104,55.47227478,0.00000000,0.00000000,,,,,,cpu,,ok
6,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.24582386,4.27324104,71.28890610,0.00000000,0.00000000,,,,,,cpu,,ok
7,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.23815536,4.27324104,89.32110500,0.00000000,0.00000000,,,,,,cpu,,ok
8,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.23098469,4.27324104,109.30586052,0.00000000,0.00000000,,,,,,cpu,,ok
9,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.21976614,4.27324104,131.31090546,0.00000000,0.00000000,,,,,,cpu,,ok
10,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.20931721,4.27324104,156.28196526,0.00000000,0.00000000,,,,,,cpu,,ok
11,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.19793272,4.27324104,183.59924889,0.00000000,0.00000000,,,,,,cpu,,ok
12,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.18614388,4.27324104,213.08841705,0.00000000,0.00000000,,,,,,cpu,,ok
13,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.17322826,4.27324104,244.78469849,0.00000000,0.00000000,,,,,,cpu,,ok
14,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.15972996,4.27324104,278.32358551,0.00000000,0.00000000,,,,,,cpu,,ok
15,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.14487171,4.27324104,313.38602829,0.00000000,0.00000000,,,,,,cpu,,ok
16,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.12852573,4.27324104,349.44580460,0.00000000,0.00000000,,,,,,cpu,,ok
17,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.11275148,4.27324104,386.19763184,0.00000000,0.00000000,,,,,,cpu,,ok
18,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.09689188,4.27324104,425.10066223,0.00000000,0.00000000,,,,,,cpu,,ok
19,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.08063602,4.27324104,465.89729309,0.00000000,0.00000000,,,,,,cpu,,ok
20,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.06456232,4.27324104,508.89405060,0.00000000,0.00000000,,,,,,cpu,,ok
21,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.04790449,4.27324104,553.39916992,0.00000000,0.00000000,,,,,,cpu,,ok
22,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.03125858,4.27324104,598.30014038,0.00000000,0.00000000,,,,,,cpu,,ok
23,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,4.01457644,4.27324104,642.92514801,0.00000000,0.00000000,,,,,,cpu,,ok
24,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,3.99836183,4.27324104,686.75975037,0.00000000,0.00000000,,,,,,cpu,,ok
25,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,3.98206210,4.27324104,731.09224701,0.00000000,0.00000000,,,,,,cpu,,ok
26,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,3.96569324,4.27324104,774.66652679,0.00000000,0.00000000,,,,,,cpu,,ok
27,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,3.94892597,4.27324104,816.68244934,0.00000000,0.00000000,,,,,,cpu,,ok
28,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,3.93294096,4.27324104,858.06288147,0.00000000,0.00000000,,,,,,cpu,,ok
29,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,3.91670704,4.27324104,898.67335510,0.00000000,0.00000000,,,,,,cpu,,ok
30,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,3.90046024,4.27324104,938.41387939,0.00000000,0.00000000,,,,,,cpu,,ok
31,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,3.88425779,4.27324104,977.27857971,0.00000000,0.00000000,,,,,,cpu,,ok
32,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,3.86842108,4.27324104,1015.52433777,0.00000000,0.00000000,,,,,,cpu,,ok
33,3,token_larger_support_wide_hep_temporal_clipped_objective_gate_seed3,residual_update,supervised_ce,4.27324104,3.85242510,4.27324104,1052.93806458,0.00000000,0.00000000,,,,,,cpu,,ok
