control,count,fold,support,variant
promoted_contextual_topk2,3,0,"18,0",actual_full_context
promoted_contextual_topk2,3,0,"19,16",actual_full_context
promoted_contextual_topk2,3,0,"3,0",actual_full_context
promoted_contextual_topk2,2,0,"0,22",actual_full_context
promoted_contextual_topk2,2,0,"1,15",actual_full_context
promoted_contextual_topk2,2,0,"14,18",actual_full_context
promoted_contextual_topk2,2,0,"15,18",actual_full_context
promoted_contextual_topk2,2,0,"16,14",actual_full_context
promoted_contextual_topk2,2,0,"19,22",actual_full_context
promoted_contextual_topk2,2,0,"6,22",actual_full_context
promoted_contextual_topk2,2,0,"8,7",actual_full_context
promoted_contextual_topk2,1,0,"0,10",actual_full_context
promoted_contextual_topk2,1,0,"0,18",actual_full_context
promoted_contextual_topk2,1,0,"0,23",actual_full_context
promoted_contextual_topk2,1,0,"0,3",actual_full_context
promoted_contextual_topk2,1,0,"0,6",actual_full_context
promoted_contextual_topk2,1,0,"0,7",actual_full_context
promoted_contextual_topk2,1,0,"1,18",actual_full_context
promoted_contextual_topk2,1,0,"10,18",actual_full_context
promoted_contextual_topk2,1,0,"11,21",actual_full_context
promoted_contextual_topk2,1,0,"11,23",actual_full_context
promoted_contextual_topk2,1,0,"11,4",actual_full_context
promoted_contextual_topk2,1,0,"11,6",actual_full_context
promoted_contextual_topk2,1,0,"13,0",actual_full_context
promoted_contextual_topk2,1,0,"14,0",actual_full_context
promoted_contextual_topk2,1,0,"14,4",actual_full_context
promoted_contextual_topk2,1,0,"15,1",actual_full_context
promoted_contextual_topk2,1,0,"16,4",actual_full_context
promoted_contextual_topk2,1,0,"18,15",actual_full_context
promoted_contextual_topk2,1,0,"18,23",actual_full_context
promoted_contextual_topk2,1,0,"19,14",actual_full_context
promoted_contextual_topk2,1,0,"2,3",actual_full_context
promoted_contextual_topk2,1,0,"21,18",actual_full_context
promoted_contextual_topk2,1,0,"22,11",actual_full_context
promoted_contextual_topk2,1,0,"22,18",actual_full_context
promoted_contextual_topk2,1,0,"23,18",actual_full_context
promoted_contextual_topk2,1,0,"23,3",actual_full_context
promoted_contextual_topk2,1,0,"3,23",actual_full_context
promoted_contextual_topk2,1,0,"4,14",actual_full_context
promoted_contextual_topk2,1,0,"4,18",actual_full_context
promoted_contextual_topk2,1,0,"4,21",actual_full_context
promoted_contextual_topk2,1,0,"4,22",actual_full_context
promoted_contextual_topk2,1,0,"6,0",actual_full_context
promoted_contextual_topk2,1,0,"6,15",actual_full_context
promoted_contextual_topk2,1,0,"6,18",actual_full_context
promoted_contextual_topk2,1,0,"7,1",actual_full_context
promoted_contextual_topk2,1,0,"7,18",actual_full_context
promoted_contextual_topk2,1,0,"7,22",actual_full_context
promoted_contextual_topk2,1,0,"8,1",actual_full_context
promoted_contextual_topk2,1,0,"8,15",actual_full_context
promoted_contextual_topk2,3,0,"4,18",causal_current_past_position
promoted_contextual_topk2,2,0,"0,22",causal_current_past_position
promoted_contextual_topk2,2,0,"14,23",causal_current_past_position
promoted_contextual_topk2,2,0,"16,14",causal_current_past_position
promoted_contextual_topk2,2,0,"18,0",causal_current_past_position
promoted_contextual_topk2,2,0,"19,16",causal_current_past_position
promoted_contextual_topk2,2,0,"3,0",causal_current_past_position
promoted_contextual_topk2,2,0,"6,16",causal_current_past_position
promoted_contextual_topk2,1,0,"0,14",causal_current_past_position
promoted_contextual_topk2,1,0,"0,18",causal_current_past_position
promoted_contextual_topk2,1,0,"0,3",causal_current_past_position
promoted_contextual_topk2,1,0,"0,4",causal_current_past_position
promoted_contextual_topk2,1,0,"0,6",causal_current_past_position
promoted_contextual_topk2,1,0,"1,14",causal_current_past_position
promoted_contextual_topk2,1,0,"1,15",causal_current_past_position
promoted_contextual_topk2,1,0,"1,9",causal_current_past_position
promoted_contextual_topk2,1,0,"10,18",causal_current_past_position
promoted_contextual_topk2,1,0,"11,15",causal_current_past_position
promoted_contextual_topk2,1,0,"11,21",causal_current_past_position
promoted_contextual_topk2,1,0,"11,22",causal_current_past_position
promoted_contextual_topk2,1,0,"11,7",causal_current_past_position
promoted_contextual_topk2,1,0,"13,0",causal_current_past_position
promoted_contextual_topk2,1,0,"14,11",causal_current_past_position
promoted_contextual_topk2,1,0,"14,15",causal_current_past_position
promoted_contextual_topk2,1,0,"14,18",causal_current_past_position
promoted_contextual_topk2,1,0,"15,14",causal_current_past_position
promoted_contextual_topk2,1,0,"15,18",causal_current_past_position
promoted_contextual_topk2,1,0,"15,22",causal_current_past_position
promoted_contextual_topk2,1,0,"16,4",causal_current_past_position
promoted_contextual_topk2,1,0,"18,15",causal_current_past_position
promoted_contextual_topk2,1,0,"18,23",causal_current_past_position
promoted_contextual_topk2,1,0,"18,7",causal_current_past_position
promoted_contextual_topk2,1,0,"19,0",causal_current_past_position
promoted_contextual_topk2,1,0,"19,14",causal_current_past_position
promoted_contextual_topk2,1,0,"19,4",causal_current_past_position
promoted_contextual_topk2,1,0,"2,3",causal_current_past_position
promoted_contextual_topk2,1,0,"21,18",causal_current_past_position
promoted_contextual_topk2,1,0,"22,18",causal_current_past_position
promoted_contextual_topk2,1,0,"23,0",causal_current_past_position
promoted_contextual_topk2,1,0,"23,14",causal_current_past_position
promoted_contextual_topk2,1,0,"23,18",causal_current_past_position
promoted_contextual_topk2,1,0,"3,22",causal_current_past_position
promoted_contextual_topk2,1,0,"3,23",causal_current_past_position
promoted_contextual_topk2,1,0,"4,19",causal_current_past_position
promoted_contextual_topk2,1,0,"4,21",causal_current_past_position
promoted_contextual_topk2,1,0,"6,11",causal_current_past_position
promoted_contextual_topk2,1,0,"6,18",causal_current_past_position
promoted_contextual_topk2,1,0,"6,22",causal_current_past_position
promoted_contextual_topk2,1,0,"7,1",causal_current_past_position
promoted_contextual_topk2,1,0,"7,22",causal_current_past_position
promoted_contextual_topk2,1,0,"7,4",causal_current_past_position
promoted_contextual_topk2,1,0,"8,1",causal_current_past_position
promoted_contextual_topk2,1,0,"8,11",causal_current_past_position
promoted_contextual_topk2,1,0,"8,18",causal_current_past_position
promoted_contextual_topk2,1,0,"8,7",causal_current_past_position
promoted_contextual_topk2,5,0,"19,4",current_hidden_only
promoted_contextual_topk2,3,0,"11,22",current_hidden_only
promoted_contextual_topk2,3,0,"18,15",current_hidden_only
promoted_contextual_topk2,3,0,"18,23",current_hidden_only
promoted_contextual_topk2,2,0,"0,18",current_hidden_only
promoted_contextual_topk2,2,0,"2,0",current_hidden_only
promoted_contextual_topk2,2,0,"7,6",current_hidden_only
promoted_contextual_topk2,1,0,"0,14",current_hidden_only
promoted_contextual_topk2,1,0,"0,4",current_hidden_only
promoted_contextual_topk2,1,0,"0,7",current_hidden_only
promoted_contextual_topk2,1,0,"0,9",current_hidden_only
promoted_contextual_topk2,1,0,"1,0",current_hidden_only
promoted_contextual_topk2,1,0,"1,15",current_hidden_only
promoted_contextual_topk2,1,0,"1,18",current_hidden_only
promoted_contextual_topk2,1,0,"10,18",current_hidden_only
promoted_contextual_topk2,1,0,"11,1",current_hidden_only
promoted_contextual_topk2,1,0,"11,18",current_hidden_only
promoted_contextual_topk2,1,0,"13,18",current_hidden_only
promoted_contextual_topk2,1,0,"14,0",current_hidden_only
promoted_contextual_topk2,1,0,"14,15",current_hidden_only
promoted_contextual_topk2,1,0,"14,16",current_hidden_only
promoted_contextual_topk2,1,0,"14,19",current_hidden_only
promoted_contextual_topk2,1,0,"14,7",current_hidden_only
promoted_contextual_topk2,1,0,"15,18",current_hidden_only
promoted_contextual_topk2,1,0,"15,6",current_hidden_only
promoted_contextual_topk2,1,0,"16,14",current_hidden_only
promoted_contextual_topk2,1,0,"16,7",current_hidden_only
promoted_contextual_topk2,1,0,"18,6",current_hidden_only
promoted_contextual_topk2,1,0,"18,7",current_hidden_only
promoted_contextual_topk2,1,0,"18,8",current_hidden_only
promoted_contextual_topk2,1,0,"19,16",current_hidden_only
promoted_contextual_topk2,1,0,"19,22",current_hidden_only
promoted_contextual_topk2,1,0,"21,18",current_hidden_only
promoted_contextual_topk2,1,0,"22,18",current_hidden_only
promoted_contextual_topk2,1,0,"23,11",current_hidden_only
promoted_contextual_topk2,1,0,"3,13",current_hidden_only
promoted_contextual_topk2,1,0,"3,14",current_hidden_only
promoted_contextual_topk2,1,0,"3,16",current_hidden_only
promoted_contextual_topk2,1,0,"3,4",current_hidden_only
promoted_contextual_topk2,1,0,"4,18",current_hidden_only
promoted_contextual_topk2,1,0,"4,22",current_hidden_only
promoted_contextual_topk2,1,0,"4,3",current_hidden_only
promoted_contextual_topk2,1,0,"6,0",current_hidden_only
promoted_contextual_topk2,1,0,"6,16",current_hidden_only
promoted_contextual_topk2,1,0,"6,21",current_hidden_only
promoted_contextual_topk2,1,0,"6,22",current_hidden_only
promoted_contextual_topk2,1,0,"6,7",current_hidden_only
promoted_contextual_topk2,1,0,"7,18",current_hidden_only
promoted_contextual_topk2,1,0,"8,1",current_hidden_only
promoted_contextual_topk2,1,0,"8,16",current_hidden_only
promoted_contextual_topk2,1,0,"8,7",current_hidden_only
promoted_contextual_topk2,9,0,"14,0",position_only
promoted_contextual_topk2,8,0,"0,6",position_only
promoted_contextual_topk2,7,0,"4,18",position_only
promoted_contextual_topk2,6,0,"18,22",position_only
promoted_contextual_topk2,5,0,"0,14",position_only
promoted_contextual_topk2,5,0,"1,14",position_only
promoted_contextual_topk2,5,0,"14,22",position_only
promoted_contextual_topk2,5,0,"18,4",position_only
promoted_contextual_topk2,5,0,"4,6",position_only
promoted_contextual_topk2,4,0,"6,3",position_only
promoted_contextual_topk2,2,0,"6,0",position_only
promoted_contextual_topk2,1,0,"18,14",position_only
promoted_contextual_topk2,1,0,"18,7",position_only
promoted_contextual_topk2,1,0,"6,4",position_only
promoted_contextual_topk2,4,0,"14,23",past_context_only
promoted_contextual_topk2,3,0,"18,0",past_context_only
promoted_contextual_topk2,3,0,"3,0",past_context_only
promoted_contextual_topk2,2,0,"0,3",past_context_only
promoted_contextual_topk2,2,0,"19,0",past_context_only
promoted_contextual_topk2,2,0,"4,18",past_context_only
promoted_contextual_topk2,2,0,"6,18",past_context_only
promoted_contextual_topk2,2,0,"8,11",past_context_only
promoted_contextual_topk2,1,0,"0,1",past_context_only
promoted_contextual_topk2,1,0,"0,14",past_context_only
promoted_contextual_topk2,1,0,"0,18",past_context_only
promoted_contextual_topk2,1,0,"0,19",past_context_only
promoted_contextual_topk2,1,0,"0,22",past_context_only
promoted_contextual_topk2,1,0,"0,4",past_context_only
promoted_contextual_topk2,1,0,"1,14",past_context_only
promoted_contextual_topk2,1,0,"1,15",past_context_only
promoted_contextual_topk2,1,0,"1,18",past_context_only
promoted_contextual_topk2,1,0,"10,18",past_context_only
promoted_contextual_topk2,1,0,"11,16",past_context_only
promoted_contextual_topk2,1,0,"11,21",past_context_only
promoted_contextual_topk2,1,0,"11,22",past_context_only
promoted_contextual_topk2,1,0,"11,3",past_context_only
promoted_contextual_topk2,1,0,"11,6",past_context_only
promoted_contextual_topk2,1,0,"13,15",past_context_only
promoted_contextual_topk2,1,0,"14,0",past_context_only
promoted_contextual_topk2,1,0,"14,18",past_context_only
