causal_feature_safe,control,folds,mean_oracle_loss,mean_router_loss,mean_router_minus_empty_loss,mean_router_oracle_gap,mean_unique_support_sets,mean_used_columns,support_router,top_k,uses_future_context,variant,variant_key
True,causal_contextual_topk1_control,4,3.034187614917755,3.2117589116096497,-0.9518718123435974,0.17757129669189453,21.25,21.25,contextual_mlp_causal,1,False,actual_causal_context,causal_contextual_topk1_control:actual_causal_context
True,causal_contextual_topk1_control,4,3.034187614917755,3.2117589116096497,-0.9518718123435974,0.17757129669189453,21.25,21.25,contextual_mlp_causal,1,False,causal_current_past_position,causal_contextual_topk1_control:causal_current_past_position
True,causal_contextual_topk1_control,4,3.034187614917755,4.0509703159332275,-0.11266040802001953,1.0167827010154724,17.0,17.0,contextual_mlp_causal,1,False,current_hidden_only,causal_contextual_topk1_control:current_hidden_only
True,causal_contextual_topk1_control,4,3.034187614917755,3.188281536102295,-0.9753491878509521,0.1540939211845398,21.75,21.75,contextual_mlp_causal,1,False,current_past_no_position,causal_contextual_topk1_control:current_past_no_position
True,causal_contextual_topk1_control,4,3.034187614917755,3.742157816886902,-0.4214729070663452,0.7079702019691467,20.75,20.75,contextual_mlp_causal,1,False,past_context_only,causal_contextual_topk1_control:past_context_only
True,causal_contextual_topk1_control,4,3.034187614917755,4.260223031044006,0.09659230709075928,1.2260354161262512,9.0,9.0,contextual_mlp_causal,1,False,position_only,causal_contextual_topk1_control:position_only
True,causal_contextual_topk2,4,2.8566354513168335,2.9279876351356506,-1.2356430888175964,0.07135218381881714,51.5,23.0,contextual_mlp_causal,2,False,actual_causal_context,causal_contextual_topk2:actual_causal_context
True,causal_contextual_topk2,4,2.8566354513168335,2.9279876351356506,-1.2356430888175964,0.07135218381881714,51.5,23.0,contextual_mlp_causal,2,False,causal_current_past_position,causal_contextual_topk2:causal_current_past_position
True,causal_contextual_topk2,4,2.8566354513168335,3.087203323841095,-1.076427400112152,0.23056787252426147,45.25,21.5,contextual_mlp_causal,2,False,current_hidden_only,causal_contextual_topk2:current_hidden_only
True,causal_contextual_topk2,4,2.8566354513168335,2.928188443183899,-1.2354422807693481,0.07155299186706543,51.5,23.0,contextual_mlp_causal,2,False,current_past_no_position,causal_contextual_topk2:current_past_no_position
True,causal_contextual_topk2,4,2.8566354513168335,2.968213200569153,-1.1954175233840942,0.11157774925231934,52.25,22.75,contextual_mlp_causal,2,False,past_context_only,causal_contextual_topk2:past_context_only
True,causal_contextual_topk2,4,2.8566354513168335,4.164309144020081,0.0006784200668334961,1.307673692703247,12.5,7.5,contextual_mlp_causal,2,False,position_only,causal_contextual_topk2:position_only
False,contextual_topk1_control,4,2.982861042022705,3.1447307467460632,-1.0188999772071838,0.16186970472335815,20.25,20.25,contextual_mlp,1,True,actual_full_context,contextual_topk1_control:actual_full_context
True,contextual_topk1_control,4,2.982861042022705,4.018101453781128,-0.14552927017211914,1.0352404117584229,18.25,18.25,contextual_mlp,1,False,causal_current_past_position,contextual_topk1_control:causal_current_past_position
True,contextual_topk1_control,4,2.982861042022705,4.149282813072205,-0.01434791088104248,1.1664217710494995,17.75,17.75,contextual_mlp,1,False,current_hidden_only,contextual_topk1_control:current_hidden_only
True,contextual_topk1_control,4,2.982861042022705,4.077122688293457,-0.08650803565979004,1.094261646270752,19.75,19.75,contextual_mlp,1,False,past_context_only,contextual_topk1_control:past_context_only
True,contextual_topk1_control,4,2.982861042022705,4.243008613586426,0.07937788963317871,1.2601475715637207,5.0,5.0,contextual_mlp,1,False,position_only,contextual_topk1_control:position_only
True,linear_topk2_control,4,3.5220537781715393,3.539832293987274,-0.6237984299659729,0.017778515815734863,27.5,11.75,linear,2,False,linear_actual,linear_topk2_control:linear_actual
False,promoted_contextual_topk2,4,2.889020085334778,2.8932899832725525,-1.2703407406806946,0.004269897937774658,47.75,20.5,contextual_mlp,2,True,actual_full_context,promoted_contextual_topk2:actual_full_context
True,promoted_contextual_topk2,4,2.889020085334778,3.0675976872444153,-1.0960330367088318,0.17857760190963745,51.0,19.75,contextual_mlp,2,False,causal_current_past_position,promoted_contextual_topk2:causal_current_past_position
True,promoted_contextual_topk2,4,2.889020085334778,3.1763316988945007,-0.9872990250587463,0.2873116135597229,46.0,20.25,contextual_mlp,2,False,current_hidden_only,promoted_contextual_topk2:current_hidden_only
True,promoted_contextual_topk2,4,2.889020085334778,3.118002772331238,-1.0456279516220093,0.22898268699645996,51.5,20.25,contextual_mlp,2,False,past_context_only,promoted_contextual_topk2:past_context_only
True,promoted_contextual_topk2,4,2.889020085334778,4.219200849533081,0.055570125579833984,1.3301807641983032,12.5,8.25,contextual_mlp,2,False,position_only,promoted_contextual_topk2:position_only
