matrix_role,mean_ce_abs_delta,mean_logit_mse,mean_residual_delta_l2,mean_symmetric_kl,position_bin,residual_norm_bin,row_count,support_churn_fraction,token_class
dense_active_rank,0.055776632915843616,0.06136196101592346,3.1480052861300383,0.026011299460449003,even,high,110,,common_target
promoted_contextual_topk2,0.16706571275634424,0.12583638638260805,2.8332870447941656,0.11078740737309545,even,high,112,0.9464285714285714,common_target
random_fixed_topk2,0.5215739547102539,0.39847040686894347,7.132100679256298,0.2666716996097454,even,high,108,0.0,common_target
rank_matched_contextual_topk1,0.04989124244699875,0.0038936029610049014,0.6919084637193009,0.0026242523403349574,even,high,96,0.0,common_target
dense_active_rank,0.07927439960778929,0.060683344472564904,2.9819732904434204,0.02627069481611982,even,low,102,,common_target
promoted_contextual_topk2,0.48934635218609585,0.28269656392839854,6.451896062058009,0.27191593316959195,even,low,89,1.0,common_target
random_fixed_topk2,0.43305599388956023,0.29966658278673636,6.296572008052794,0.17441035259295912,even,low,119,0.0,common_target
rank_matched_contextual_topk1,0.12506399114253158,0.014083614584721498,1.8946687235670574,0.008640102410720567,even,low,118,0.0,common_target
dense_active_rank,0.07044181227684021,0.06568481328819568,3.1592923862238727,0.02861027779969542,even,mid,96,,common_target
promoted_contextual_topk2,0.4582581386387905,0.24226648714306337,5.946158377923698,0.2505581198503899,even,mid,107,0.9252336448598131,common_target
random_fixed_topk2,0.4779685176449058,0.42043004359728026,7.273729124186952,0.272913145798224,even,mid,81,0.0,common_target
rank_matched_contextual_topk1,0.11615516086842151,0.006715680176935553,1.0888254624652736,0.006539132812731816,even,mid,94,0.0,common_target
dense_active_rank,0.05139388768903671,0.06905185581455307,3.3529391019575057,0.02827482347586943,even,high,62,,rare_target
promoted_contextual_topk2,0.4111731195449829,0.18561159196920926,4.050196112990379,0.25606366762018296,even,high,50,0.88,rare_target
random_fixed_topk2,0.40367381440268624,0.3900609353074321,7.003154083534524,0.26903064155744183,even,high,54,0.0,rare_target
rank_matched_contextual_topk1,0.02575202967439379,0.0013756554684848155,0.2825381169794127,0.0008159352036143121,even,high,70,0.0,rare_target
dense_active_rank,0.07669840120289424,0.05053589712471178,2.8973586004074305,0.021948568994970354,even,low,73,,rare_target
promoted_contextual_topk2,0.5637401828960497,0.34986409940281693,6.564607324648876,0.4316640377747921,even,low,98,0.8673469387755102,rare_target
random_fixed_topk2,0.3738879569589275,0.2844228150501643,6.13546926028108,0.17029618584129907,even,low,73,0.0,rare_target
rank_matched_contextual_topk1,0.20015856141553207,0.01644664209099828,1.9811293233788627,0.011245078565292822,even,low,68,0.0,rare_target
dense_active_rank,0.06364964402240256,0.07722296981491904,3.5348562641420225,0.03190206702582646,even,mid,69,,rare_target
promoted_contextual_topk2,0.28380035289696287,0.2299241872200842,5.069061661937407,0.2095376155370364,even,mid,56,0.9285714285714286,rare_target
